"","ITGA9","ITGAX","CFI","ZNF197","TIMM44","GALNTL6","EPHB1","SNAP91","ZNF830","COBLL1","ZNF300","OBSCN","CNGB1","UNC5D","PCNT","NGLY1","MGA","NLGN1","GPRC6A","MEIS1","KCNA2","KCNA3","ACACB","OR8J3","ASXL2","RASA2","QKI","MMAA","RAPGEF2","TPD52L1","APEH","ALDH3A2","ANAPC4","EEF1A1","PFN2","TRIM5","CYTH3","RGS2","RGS3","FAT4","HIST1H1A","SOS2","ZNF493","FCER1A","UBA6","GPR65","VAV3","ZNF519","GSTA1","GSTA3","GRIA2","PPID","EPHA8","COL9A3","GOLGB1","LRP2","SERPINI1","MSR1","RELN","COPS2","CASQ2","COL6A3","COL6A5","COL6A6","GPN3","CAPZA3","PEX26","GRIN3A","PCDH15","MAP1B","KCNN3","MUC16","GPR119","ZNF429","DAB2","SYNJ2","CCDC22","WDR4","ZNF219","CEP192","UTP14C","CNOT1","SLC12A7","CDH12","KDM4C","KRAS","RPL8","REST","MAP3K13","NUP210","TRPM6","UBE3A","OR2L3","STAMBPL1","TNKS1BP1","ZNF248","KCNS2","SYNE1","GPR18","EFCAB3","RPGRIP1L","NLRC5","DNAH17","DNAH10","DHX9","APC","DMD","LRRC41","LRRC49","PAX3","TFAP2B","NMD3","BAIAP2","CLUAP1","FLNC","REV3L","NSD1","CHN2","AXL","MRPS23","HS3ST2","MET","SLC40A1","GABRP","OR3A1","MTOR","ZNF473","FCN2","IREB2","TMEM181","TAF5","ARFGEF2","OTUD7A","PCF11","CSAD","TWF2","MAPK14","MAPK12","ESCO1","BMP2K","IPO8","NR2E1","PAPPA","PIK3C2A","NAE1","CHRM2","NPAS4","MED30","FGF10","APOL2","NOS3","COL5A1","NONO","GALNT13","LIMK2","CACNA2D1","TICAM1","ANKRD1","KCNH7","CHAF1A","UBR5","TGM2","ERCC6L","TTF1","ANXA7","COL12A1","M6PR","KCTD1","MMP16","DNAH2","DNAH6","TP53BP2","DNAH8","SGIP1","POLE","LMCD1","GTPBP10","MIS18BP1","LPA","KIF14","KIF15","CD109","LOXL1","LOXL3","SLC25A27","ZNF616","BOD1L1","NRG1","SPARC","AMPD1","MYO18B","OR51A7","PSG9","DSPP","GRM5","GRM7","TPR","FLT4","PPP4R1","MAP3K1","SETD2","DZIP1","MAST4","SDAD1","SGCZ","LHX4","ADCYAP1R1","EXOC4","ANK2","ANK3","CENPJ","CENPI","GREB1","EZH2","UGGT1","GAD2","SARS","VLDLR","IFNA6","MAP2K4","BORA","GYS2","HMG20A","GALR1","UTRN","BCR","MYO16","EVI5","MYSM1","TAS2R16","CDK13","GNAS","S100A9","GMNC","DRG1","TLR10","NEB","PFDN4","RPGRIP1","CPSF3","RLN2","CRNKL1","ADAMTS20","ZNF451","WSB1","TGFBR2","TUB","KAT8","NALCN","VIPR2","GUCY2F","GFPT2","DNTTIP1","AMD1","TRPV5","ARHGEF10","ZNF184","ZNF233","TAPT1","MYOM1","SIRT1","OFD1","TAS2R1","ASPA","EP300","ESRRG","ASB15","NNT","DICER1","AQR","SCP2","RALGAPA2","TES","OR4K5","CDKN2C","OR2AG1","NME3","ZNF37A","TIAM1","KATNAL2","MED7","UST","IQCG","RUNX1T1","OR6C65","CASP3","AKT1","UNC13B","UNC13C","GABRA2","CEP290","DMAP1","PPFIA2","ZNF461","LYST","SEC23B","CD163","CYP2E1","RBPJ","NUP54","IL22RA2","ANKRD28","ENPEP","EXO1","SCN2A","RAB9A","HTT","HDC","SCCPDH","WDR88","TNRC6B","MAPRE3","HMGXB3","OR11H6","ZNF14","BCAR3","SOX9","KLRC1","TSHR","SDHAF2","AGTR1","ABCC2","CAMK4","COL4A3","FRG1","QPRT","ZNF582","EIF2AK3","PIGY","AKAP6","PCLO","DNAJC2","GOSR1","SYCP2","AHNAK","MICAL1","AAK1","NFIL3","ZNF433","CAPN11","OAS2","PTPRR","PTPRG","PTPRM","PTPRK","GAPVD1","IFIT1","WDR33","IRF6","ITK","KIN","FNTA","DGKA","BBS7","AGK","RAB11A","PIK3CA","RAB11FIP5","IL31RA","FYN","ARHGAP6","HOXC4","ANKHD1","PRKCI","ILK","NUP205","SMCHD1","ZNF778","ZNF776","RPH3AL","NAA38","RANBP2","A2M","LIG4","COG3","COG7","GUCY1A2","MYOF","CCDC129","STK24","PIWIL1","TCF20","TOPBP1","SORL1","POLD3","OR10K2","ZNF679","ZNF678","GINS1","AP3B2","RING1","ZNF540","TRIP12","FOXK2","TNPO1","ASZ1","FKBP6","PTK2B","UNC80","POU2F3","PCCA","RPS27L","TAF13","LAMA2","POC1B-GALNT4","UGT2B4","CYP39A1","OR5M3","RGS21","DOK5","LIFR","TTN","SLC25A3","KIF5A","CDK1","ACSL1","COMMD8","DEPDC1B","ZNF492","PKD2L1","FMO5","SH2D2A","HLA-DRA","MGAT4A","LIN9","MYH2","MYH8","COL24A1","GK2","AHCYL2","CAPN7","BEND7","NTS","SPTAN1","OR10H1","USP2","ZNF721","PLG","ALDOB","CAND2"
"Neuronal System",0.835531953583005,0.835918425019867,0.83614234496761,0,0.82180090495836,0,0.836240689015632,0.84923515225166,0.835601538183306,0.837486088216676,0,0.83483042046707,0.837016102756576,0.83653392683629,0.849273636887799,0.836567797840442,0.821908285763175,0.849801612256045,0.849058285183338,0.835724934220144,0.851195047998854,0.851195047998854,0.835563739410306,0.850732822630958,0.836178720735338,0.836247387097659,0.822070271014052,0,0.836555040891681,0.835811229721846,0,0.861775098030005,0.836023131075138,0.835617273940261,0.836461175743902,0.836114652942403,0.836351015304694,0.836535931029582,0.836271344234045,0,0.836850004702629,0.834673194769467,0,0.836350843722533,0.835515886717953,0.849084936863894,0.834760515585474,0,0.836732817175164,0.836732817175164,0.874761264363278,0.850593024057567,0.836202722216027,0.835719764397,0.847901765094367,0.84906530186346,0.822423037831676,0.836848009833992,0.850511716065573,0.837149272353376,0.849087495060436,0.83573573051352,0.835743854545085,0.835704159669326,0.821060530020087,0,0,0.850236665550622,0,0.838404603044343,0.851153534783041,0.835765375571648,0.836855346239105,0.823881583031342,0.849356941957159,0.849018218519905,0.823405077519122,0,0.83746398028396,0.849293011580227,0.835804658665909,0.836203669405987,0,0.823132104057256,0.836619479054142,0.848895278464318,0.83487196238877,0.837314328001439,0.822716642185131,0.83643236982897,0,0.835668307359773,0.850732822630958,0.836921263862626,0.836346886397923,0,0.851195047998854,0.834974109229929,0.848888368528703,0.837241297202977,0.849312940892873,0.822135986691883,0.837761199143368,0.838586750060816,0.833769890453196,0.836731056045677,0.835902156097338,0.835546171067539,0.837801063106254,0.823657322737678,0.836686006467398,0.822190531677878,0.835245922923209,0.836186781485722,0.850462417833024,0.836047424286301,0,0.834998546777322,0.836543295850806,0.821345556997318,0.837324094414858,0.83590358900212,0,0.837035050272359,0.850732822630958,0.835776086073257,0.822489647932014,0,0.822423037831676,0.836954050821257,0.835329065543078,0.836387533215151,0.837151799845502,0.833750411555148,0.850633507761065,0,0.849337577894281,0.849323613811604,0,0.837539612298268,0.821514931093866,0,0.82326603023733,0.848676575793328,0.83702550522318,0.848496999816426,0.824308292183298,0.835611008698755,0.835679604383983,0,0.849974890021212,0.835640235510686,0.823453491031278,0.822007656486537,0.834997577060049,0.850414840021357,0.83589919343558,0.836555040891681,0.851195047998854,0,0.837943795599415,0.836832384635978,0.836836497850413,0.836500165562149,0.821850509691026,0.822103860248233,0.859881998869395,0,0.823197809925634,0.837761199143368,0.837592768356524,0.836501546673114,0.837576757460885,0.849055631442245,0.83581962433202,0,0,0,0.837536476310718,0.83539804375574,0.835733780681667,0.823587882633026,0,0,0,0,0,0.825136502895572,0.83556503518999,0.836592613945471,0.837435593636873,0.850732822630958,0,0.837535239443958,0.848881524255019,0.848868027657819,0.836463597121898,0.835497064696764,0.835358418013342,0.835282490403179,0.837342828249967,0.824612660622475,0,0,0.836161325886099,0,0.849258495484478,0.836133449698667,0.848210206128095,0.848246180449571,0.849162021963199,0.8367043802215,0.82481319430919,0.837149272353376,0,0.8505241025515,0.837602891193109,0.837655871272534,0.836159595914362,0.835445243829146,0.84947125770844,0.836371656492215,0,0.848888368528703,0.836309924934388,0.836041174536807,0,0.822105890520565,0.835702747874117,0.848891815208042,0.833841332489156,0.863102436997506,0.821643409139054,0,0.821125929371293,0,0.83525666585639,0.837133064136232,0.838503917914233,0.83426788633493,0.849288056125942,0.833727715408067,0.822189419285725,0.822929418395153,0.835546171067539,0.836370273377508,0.836871253065606,0.836142344967611,0.83721849370112,0.849282043265878,0.835451520492437,0.837093558431982,0.837109786571127,0,0.823707544146412,0.837324429059355,0,0,0,0.821777166107326,0.833333739584186,0.849212683233745,0.848891815208042,0.850343745525854,0.849115752062524,0.821885272625663,0.835546171067539,0.821884974967563,0.810012574529958,0.832732551368458,0.837623487193007,0.836992755455825,0.820862878309315,0.850732822630958,0.823206714398725,0.850732822630958,0.834004484678899,0,0.835116513448808,0,0.835630353368592,0.823586135148342,0.837393971920673,0,0.850732822630958,0.835695805049709,0.849528431525096,0.850478308033641,0.837625399403283,0.863416672203199,0.849286493299971,0.836158403994044,0.850493238084553,0,0.836824415754117,0.823363286857382,0.836268142123261,0.836384196290751,0.836700331799331,0.835505276482209,0.836008133478567,0.836343803744111,0.837224369120413,0.835616541439283,0.836329385405978,0.847877379046334,0.836648078863991,0.837946199830068,0.835120203799729,0,0.83574354668303,0.837994183693455,0.823012960657909,0.850732822630958,0.822710128966622,0.82344951728441,0.834746496550432,0.821270544710043,0.849264308612133,0.837078353617576,0.848540355499484,0,0.8497523711486,0.835696487656995,0.824621175485214,0,0,0.83628879969158,0.822635335973797,0.849087495060436,0.837370082286599,0.836440829150393,0.861131098549429,0.834988078634067,0,0.823060987657061,0.849210784105883,0,0,0.823324104547954,0.835681394609537,0.836346886397924,0.822818010722533,0.823974249438605,0.836793706708435,0.849432298936503,0.836029962367185,0.835802877017763,0.83563612057201,0.83605097238838,0,0.835395089975275,0.835667066855196,0.837147399205614,0,0.849119863765116,0.84837985100794,0,0.837536476310718,0.847965555352219,0.835444326338762,0.820924662891504,0.835690075424211,0.848615826778134,0.836318993833467,0.835515734785309,0.821989210139181,0,0,0,0.822124563211182,0.837262955403108,0.834490937875278,0.836849186186488,0.848440029950565,0.848446672640404,0.835441342882783,0.837484850932329,0.837994183693455,0.83555264010313,0,0,0.836436619411605,0,0.835210138563219,0.850732822630958,0,0,0,0.836947650155866,0.836605265935805,0,0.835532249247416,0.836178720735338,0.822845326623883,0.850629571874181,0.849700745770212,0.848750721288469,0.824244830461864,0,0.836948427928518,0.835284870703103,0.835479583544074,0.836086356218,0,0.836766939788358,0,0.850732822630958,0.836458384672411,0.822618646385974,0.835908409346064,0.835198937330173,0.821955726509756,0.835031280777934,0.850087583061459,0.835904833533814,0,0.834998546777322,0,0.849927714060512,0.838503917914234,0.8368197012425,0.835807803486833,0,0.837091644920454,0.835859278275299,0.836097012705215,0.83596647532716,0,0,0.823324104547954,0,0.849071486085558,0.848313406810829,0.850732822630958,0.836150241487516,0,0.834871470302982,0.822808550956061,0
"Activation of Matrix Metalloproteinases",0.676633707903299,0.631512100842949,0.629830312164531,0,0.627437989377578,0,0.677430620669903,0.624275057176634,0.6781117942438,0,0,0.627408776664118,0,0.634329701345153,0,0,0.63293933476388,0,0.719260091615502,0.678527474807978,0,0,0.674551561966327,0,0.584712670362461,0,0,0,0,0,0,0,0.674340400989541,0,0,0.677744640657789,0,0,0.634241159481523,0,0.680202701075592,0,0,0.679570742999728,0.623023612019041,0.719349872340179,0.677810156573929,0,0,0,0.678897993776974,0.683914518257574,0.679694900249448,0.676414391343889,0,0.675278247397853,0.638250297157058,0.631041562353902,0.6792350627213,0.677383853784068,0,0.676468175926383,0.676495543110217,0.676361824161265,0,0,0,0,0,0,0,0.62562275774338,0,0.635532629201193,0.624133226726425,0.623544278957847,0,0,0,0,0,0.7208044598908,0,0.680952846956361,0.628517043782951,0.675977349831806,0,0.584524852558062,0,0.627662961016232,0,0.622960829905962,0,0,0.723232825010363,0,0,0.626872368042714,0.718687698427906,0,0.625221107605641,0,0,0,0.629112820408583,0.675650319992445,0.675392171397347,0.623125630007985,0,0,0.681192895572098,0,0,0,0.629289225974429,0,0.632393798276565,0,0.633631482255959,0,0.680481617584008,0.67602839327862,0,0,0,0.628303731136107,0,0,0.638250297157058,0,0.628225412776153,0,0,0,0,0,0.675827871671383,0.677369790438294,0,0,0.582565934309654,0,0.681069637234949,0.624946986116231,0.630622031549146,0.71760935488704,0.635423163119765,0.678143697287898,0.677934590953293,0,0.630966120370034,0.675874466665737,0,0,0.63256976986188,0,0.630771475487457,0.585399965297365,0,0,0,0.631743238690535,0.628369608896286,0.581782207731119,0,0.676276704146572,0.6237193440128,0,0.686590694932456,0,0,0.631918755775199,0,0.623670310758093,0.676163699782573,0,0,0.583311197522151,0.636208469689913,0,0.628239651589315,0.633057346430261,0,0,0,0,0,0.679183705112335,0.675447232700218,0,0,0,0,0.634110924805948,0.718893073106474,0.718619176740322,0.627442296822139,0.676468175926383,0,0.676877515386811,0.631041562353902,0,0,0,0,0,0,0.678604747342357,0.676138939083524,0,0,0.627924548163931,0.635358606975634,0.677383853784068,0,0,0,0.679090418516009,0,0.629095230104711,0,0,0,0.718687698427906,0.676765810167148,0.581161784330528,0,0.634991093495582,0.678452736323097,0.718699309154219,0.6783342388174,0.719607222887336,0,0,0,0,0.626959380827809,0,0,0.620932736426853,0,0,0.630838141988054,0,0.623125630007985,0.676726973280323,0.725792361857456,0.632803782429326,0,0,0,0,0,0,0,0,0,0,0,0,0.628858903648937,0,0.718699309154219,0,0.673990984541616,0,0.623125630007985,0,0,0.675523175548746,0,0,0.682569186558035,0,0.680736914972415,0,0,0,0.677988426387784,0,0.678208863102603,0.679746209342236,0,0.684456053963184,0,0.67593547431172,0.675195627870694,0,0,0,0,0.583259839913185,0,0,0,0,0,0,0.632461350293261,0.627798880990339,0,0,0.729407730142554,0.677238280507014,0,0,0.680713189990852,0,0.675447232700218,0,0.629621663081369,0,0,0,0,0,0.682622836671195,0,0,0.726698625510727,0.717755405888808,0,0.677792703111791,0.676335979681202,0,0,0,0,0,0,0,0,0,0.583112457045019,0.633089303959298,0,0.624192968927738,0,0,0,0.676285136180525,0,0,0.683914518257574,0.629710243853001,0.624317200849363,0,0,0.675871394764927,0.679183705112335,0,0,0.633117305549313,0,0,0,0.673735405600375,0,0,0.719385744799766,0,0.583646877800579,0,0.678310217614111,0.677777328927209,0.627834111565358,0,0,0,0,0,0.626547211992621,0.720607934365269,0.583708089022472,0,0,0,0,0.634565648552578,0,0,0,0.677492006900383,0,0.676793297968983,0,0,0,0,0,0.582886402118926,0,0.62307873198604,0.584712670362461,0,0,0.582720525062837,0.678018654866702,0,0,0,0.674579125883959,0.628732458295416,0.677088685401737,0,0,0,0,0,0,0,0.626764912456197,0.683137918539451,0.628096590112869,0.625295014377119,0.633214479587707,0,0,0,0,0,0.633525714897116,0.674442168712611,0,0,0.627080774150241,0.625549223414653,0.675908246487353,0,0,0,0,0.719304561102716,0.676866482048415,0,0.631617173603373,0,0.720427986140304,0,0
"Transmission across Chemical Synapses",0.790495529372361,0.791033025494285,0.791344448518225,0,0.77139868370212,0,0.79147533338903,0.809541094512852,0.790592306130589,0.793377699591535,0,0.789414856670903,0.79255965196737,0.791889052118273,0.809607165525911,0.792047812291334,0.771548026604729,0.791419587528203,0.809307659029553,0.790763922671773,0,0,0.790539736414011,0.811636569521416,0.791506692262333,0.791490538842513,0.771773312190807,0,0.791918417090191,0.791041685087058,0,0.825533229466552,0.791178648413036,0.790614191081278,0.790222177832857,0.791305935048048,0.791719564636639,0.790499805952302,0.790131824355348,0,0.792328646383669,0.78919619056866,0,0.791634424080471,0.790473183923686,0.80934472561087,0.789317634472373,0,0.792165664503141,0.792165664503141,0.84346070265818,0.811442140686886,0.78996772185744,0.790756732593476,0.806133502246224,0.809304870263768,0.772263932656726,0.792490273967118,0.811329059288857,0.792744861364522,0.807887585462329,0.79077893792327,0.790790236650793,0.790735029875477,0.770368986239034,0,0,0.810946524977087,0,0.794490748159176,0.79206547066095,0.790984569633059,0.792336075277159,0.774199951344893,0.80971047700313,0.809239387767122,0.773629732230077,0,0.793182550352878,0.809634111429412,0.790874801707931,0.791429737221769,0,0.773316970983115,0.792008036293898,0.807620254774655,0.789577627883219,0.792974417192649,0.7726722712461,0.790287110794351,0,0.790685167258197,0.811636569521416,0.792539405195842,0.791628920318932,0,0,0.789719691502293,0.809071342618544,0.792872847536496,0.809661828686725,0.771864708135282,0.793595915919014,0.794744074293104,0.788044890053321,0.790702517129309,0.790447006663398,0.790515302742582,0.793651357857053,0.773980549428492,0.792100561182458,0.771940568122968,0.789810886468396,0.791406249867248,0.811260496372469,0.791324087998605,0,0.788187985076633,0.791902082341177,0.77076539559893,0.792988000109358,0.79100573437435,0,0.792586003762825,0.811636569521416,0.790723410451076,0.77235657254469,0,0.772263932656726,0.7924733514768,0.790213357071268,0.791685451033869,0.792860029658457,0.788017799222896,0.811498444546774,0,0.808123742150313,0.808104321205918,0,0.793287737723808,0.771000957431879,0,0.773436348275664,0.808770128352382,0.792684381827225,0.808514488058959,0.774885903664638,0.790605477518797,0.790762523852103,0,0.810582453228303,0.790646125537177,0.773697064696462,0.771686229259174,0.789647334447814,0.81119432618026,0.791117931735003,0.791918417090191,0,0,0.793849867123791,0.792304140775777,0.792198208233007,0.791842097667852,0.771467672892247,0.771820027371772,0.822788694955327,0,0.77334146894054,0.793595915919014,0.793361666020818,0.79184401848713,0.793339398413191,0.809291420850941,0.79089561563292,0,0,0,0.793447778263735,0.79020429487325,0.790776226139269,0.770729848391729,0,0,0,0,0,0.776037761223887,0.789245242527023,0.791970672881371,0.793143070817601,0.811636569521416,0,0.793281656052541,0.809156132947994,0.809043052974927,0.791791239071471,0.788986308630394,0.790254179852541,0.790043585767863,0.793014054722348,0.770505738292695,0,0,0.772085977938202,0,0.809586107189411,0.789766383531997,0.80656247536987,0.806612507678698,0.809451933901011,0.792014461890055,0.775588110629328,0.792744861364522,0,0.809885588112786,0.793375744643164,0.793449428192616,0.791368440762137,0.788809241682246,0.809882012292255,0.790202671997734,0,0.809071342618544,0.791453903806706,0.791098747264145,0,0.771822851030654,0.790733066381213,0.807615438152675,0.786683552059918,0.827379263815957,0.771179641920445,0,0.770459942243273,0,0.790112665151731,0.792722319326413,0.794628873133817,0.788737491962897,0.809627219490692,0.787986233912047,0.771939021032005,0.772968195800458,0.790515302742582,0.791661446424697,0.792358198147675,0.791344448518226,0.791380434885941,0.808158158901862,0.790383664768327,0.791206677613739,0.792689945391943,0,0.774050396278367,0.792988465525691,0,0,0,0.771365668221149,0.788898998883845,0.80952239250119,0.809076136185677,0.809634751459413,0.807926884690141,0.771516020430443,0.790515302742582,0.77151560645399,0.755003728512975,0.785141483240349,0.793404389114699,0.792527181046069,0.770094096511361,0.811636569521416,0.773353853089272,0.811636569521416,0.788371158632353,0,0.789812748606836,0,0.790632381667527,0.773881543267757,0.793085184234246,0,0.811636569521416,0.790463278651734,0.809849875288305,0.811282596120067,0.791946350542417,0.827816295348751,0.809625045946105,0.772885050959687,0.811335373423455,0,0.792293057827108,0.77357161068091,0.791657529458204,0.791680810111532,0.79212048454451,0.79045842743712,0.791157790079855,0.791841047765992,0.792886985825948,0.79061317233475,0.791604580317567,0.808170563341888,0.792212214294969,0.793853210875823,0.79000041852739,0,0.790789808482902,0.793919945795991,0.773084384573975,0.811636569521416,0.772663212802562,0.773691538095201,0.787942434673836,0.770661070130965,0.80959419196172,0.792765469796875,0.808574786205949,0,0.810272978789377,0.790724359806536,0.773084384573975,0,0,0.791548134583127,0.771098494291571,0.809348283495333,0.793136860970887,0.791759573868765,0.824532573301732,0.78973911984766,0,0.773151179486428,0.809507203822352,0,0,0.773517116771772,0.790703368722325,0.791628920318932,0.772863235271334,0.774421324234687,0.792369589027463,0.809815281861381,0.791188149226377,0.790872323830196,0.790640402569399,0.791217369509784,0,0.790310991039088,0.790734380224765,0.792742256231098,0,0.807964306896787,0.808259111835381,0,0.793447778263735,0.807682918391206,0.790468433600883,0.770180025172975,0.79071544181176,0.808587301836629,0.791485132337679,0.790472972619046,0.771660574477933,0,0,0,0.771848820605209,0.792791316180648,0.788942711619174,0.792327508009111,0.806882109375184,0.806891347884649,0.790369509968781,0.793361666020819,0.793919945795991,0.790524299737471,0,0,0.791753719055042,0,0.790047955997942,0.811636569521416,0,0,0,0.792464449569705,0.791988268996091,0,0.790495940576033,0.791506692262333,0.772851242782373,0.811492970600356,0.810201179328847,0.808774910206251,0.774797642474009,0,0.792465531279103,0.790151891842973,0.790422694254042,0.790703188210262,0,0.792213121496109,0,0.811636569521416,0.791852654187694,0.772535980806527,0.791019095911619,0.790032377565104,0.773074704202786,0.78969420885024,0.809166833127629,0.791014122749223,0,0.789648683109637,0,0.810516841921735,0.794628873133818,0.792286500986243,0.790866628044058,0,0.792664714376267,0.789308225408598,0.791281401387409,0.7910998528232,0,0,0.773517116771772,0,0.807865320526059,0.806329566912483,0.811636569521416,0.791467083939959,0,0.78965799414411,0.772836125212933,0
"Drug ADME",0.718944549203886,0.720588776420086,0,0,0.752462539229814,0,0.68338856571276,0.683188890226134,0.779651815784321,0,0,0.683944617163007,0.719124514618989,0.654714111340348,0.682614593005475,0,0.721295547109547,0,0.650374149152137,0.751821911988852,0,0,0.777217986280456,0.654278057368991,0,0.653440457161655,0.752527357561607,0.7573074926687,0.654157701303394,0.719284137649744,0,0.809709922865351,0.649013660428607,0,0.684064274554663,0.651369611980071,0.685893203607476,0.686476478805431,0.654278057368991,0,0.722027480521513,0.682788129105724,0,0.716804571881684,0.716884228543757,0.650436283155089,0.681948195590821,0,0.781941602789643,0.782041796996451,0.652167806095449,0.722061459068121,0.683785606193402,0.719686694380262,0.683379058165604,0.71890041011323,0.68878428145799,0,0.720744853094513,0.751030453105772,0.684456878585059,0.71972391675087,0.719742856592214,0.719650314528216,0.684629665926069,0,0,0.653304593515135,0,0.654046521109722,0,0,0,0.62097584185445,0.683090734484536,0.682683144965486,0,0,0,0.682659761909327,0,0.721344704051722,0.696601896314351,0.653589895903391,0.653440457161655,0.71797115852303,0,0,0.657396963954073,0,0,0.649523936342852,0.654278057368991,0,0.721678590876653,0,0,0,0.681559597369144,0,0.682706223818856,0,0.68309965573323,0,0.717122484928625,0.719251719026801,0.71920476782957,0.649637988552414,0,0.755030941635957,0.753147404689908,0,0.719659043912605,0.684210194850987,0.720744853094513,0.721502476765438,0,0.684336575960342,0.653513307664211,0.7475664743238,0.722501475037435,0.718994220997311,0,0,0.654278057368991,0.750922008147855,0,0,0.68878428145799,0.65534512673488,0.719305709216607,0.653943186878503,0,0.717077073086535,0.753957049824348,0,0.749434465057479,0.750501571449846,0,0.655639561842632,0.683466890465214,0.756413566407922,0.686720135937286,0.717397996401778,0,0.681468009417348,0.755759956846834,0.781802272126356,0.719844843465919,0,0.777390871571999,0.720057695919366,0,0,0.684735521759201,0.683573476975072,0.652719316336549,0.752863242691414,0,0.686301172335104,0,0.722719522710819,0.681880339352285,0.682924501553574,0.655377718719853,0.72033606997918,0.682804301178919,0,0,0.68309965573323,0.654409293000945,0.721950892282333,0.682669660333127,0.682770367030987,0.749666879586619,0,0.687552331464449,0.684655730585855,0.620456692933148,0.685140856622042,0.68258516305209,0.753431609555766,0,0,0,0,0,0.720190161423491,0.750140416305681,0.777118649116507,0.655345126734879,0.654278057368991,0,0.724358112916149,0.650120148873066,0.681512175979376,0.680074510370835,0.71920476782957,0.650286170494492,0.751199183475844,0.722362756426939,0,0,0,0.65198435468695,0,0.682422487396466,0.683700363113674,0.682770320830011,0.682854189034574,0.68235438119481,0.683003711793124,0,0.777880387016416,0,0.77902054952261,0.654708506272624,0.721019527393936,0.616698802654444,0.719477683032661,0.683075313395226,0.749607771355688,0,0.681559597369144,0.720768373507817,0.682537190481457,0,0,0.751251039256488,0.681567632734258,0.720734385150732,0.716476547574055,0.654894897898079,0,0,0,0.722306981184275,0.720860582859595,0,0.716774594316276,0.682491403162591,0.717602451082658,0,0,0.649637988552414,0.719903021069881,0.654894897898079,0.721201736225467,0,0.682477385169833,0.750032965911772,0.687976978148186,0.752674680321972,0,0,0.656208602585544,0,0,0,0.651631063711838,0.778960929680224,0.682472489601787,0.681567632734258,0.753281516904745,0.806672189511482,0.755030941635957,0.649637988552414,0.689076243563354,0.750870604985793,0.749223595855303,0.7203150917502,0.656014339182108,0.722661969698619,0.654278057368991,0.752457059615504,0.654278057368991,0.749474025111062,0,0.714038937244664,0,0.781847371037484,0,0,0,0.654278057368991,0.71883610424597,0.77674077208685,0,0,0.685676732807532,0.682644565612649,0.719706864976884,0,0,0,0,0.653288963212768,0.845401339703436,0.751720103969966,0,0.616795921772206,0,0,0.71997591191344,0.652764151607345,0,0.752959789332352,0.720210729838353,0.777247656014849,0,0.777700955464358,0,0,0.654278057368991,0,0.688220232250205,0.655639561842632,0.652952713976787,0.682436039746013,0.655377718719853,0.681569086050529,0.724845894502322,0.751688180325935,0.719632428495259,0,0.719445752899613,0,0.718114367180298,0,0.684456878585059,0,0,0.682786749789328,0,0,0,0.683132079908357,0,0,0.656533488103409,0.650359541546532,0.722196493065811,0,0.655639561842632,0.654714111340348,0.68321805634275,0.719709934370602,0.752714365414027,0.749983734742812,0.651846387689451,0,0.654825977813579,0.752174066955475,0,0,0.682256096300592,0.747611567383714,0,0,0.717766585082605,0.683833730057685,0.720873857887337,0,0.716724737983841,0.750927985728075,0,0,0,0,0,0.653306566416248,0.680619124152715,0.74950996095428,0.684257334567247,0.68267510181928,0.682690588156406,0.750009238491397,0.68826899040749,0.620306629407221,0,0,0,0.750730524639174,0,0.750102601794402,0.654278057368991,0,0,0.683326474191999,0,0.652107093775786,0,0.649605532122101,0,0,0.654157701303394,0.651992296245139,0.719477683032661,0,0,0.780042359398349,0.718135606861419,0.719656617141484,0.72015334898938,0,0.781990906538453,0,0.654278057368991,0.654714111340348,0,0.650708002451459,0.722172396634873,0.751554848238484,0.682486155361612,0.775689717653922,0.782685622439454,0,0.684336575960342,0,0.684456878585059,0.754432084120628,0.653638552382094,0.715840177844565,0,0.75225760871238,0.719492799084452,0.721331062074842,0.720081073716143,0.720467955614544,0.722231520794985,0.656533488103409,0,0.714576105182907,0.718586494876905,0.654278057368991,0.718268304096498,0,0.749496947874648,0.752207329247237,0
