"","PRKACB","PIK3CA","OR52I2"
"Peptide hormone biosynthesis",0.741057132928606,0.791399548851481,0.799153761326508
"Potassium Channels",0.953940084637352,0.954263725054342,0.95752051701287
"Keratinization",0.410676544715126,0.238943015297462,0
"Phase 4 - resting membrane potential",0.759491419188342,0.761250052707919,0.778947173351345
"Transcriptional regulation of testis differentiation",0.814344971794939,0.815718404519112,0.755403843200496
