"","PLA2G4D","FOXA1","RXRA","KLK3","NCOR1","NOS2","CABIN1","NGF","PML","CAD","BCAR1","TGFB1","TYK2","PPARGC1A","IRF3","PTGS2","TGFB3","MAPK13","CCT2","PIK3CG","NPAS2","TNRC6A","HSPG2","HTT","NFE2L2","ITGA2B","RET","APOB","HLA-DRB1","SERPINE1","SERPINA1","F5","F8","VWF","ABCA1","IL2RB","ITGA6","PLCG2","GTF3A","HLA-DRB5","CASP8","ASPH","KRAS","PLA2G3","HLA-A","TRIP6","APOH","SERPINF2","CTNND1","BCR","APC","ATM","BRCA1","LRP8","RPS6KA1","PSMD13","PSMB8","PSMB1","PSMB7","IGLL5","CFTR","FGF23","S1PR3","OPRM1","FPR1","EGR2","CIITA","INCENP","IL1A","LAMC1","KAT6A","IL23R","ALOX12B","CHEK2","FDFT1","ADCY6","TH","SPRY2","NTRK1","F2RL3","LAMA5","CASR","GATA4","ADCY2","LRP2","SELE","DAB2","TF","NRG1","TTF1","KDM6A","SMC1A","PLB1","NPS","NMS","TACR2","QRFPR","UTS2","TRH","PROKR1","AVPR1A","GPRC6A","GPSM1","CCP110","XRCC1","PCM1","CEP192","CEP57","NINL","CNTRL","PCNT","CEP164","ACVR1C","CCR8","TDGF1","POLE","FGF6","EXOC6","SOD2","MED15","FGFR3","DMD","GRM7","TAS2R38","TAS2R7","ITSN2","LRRFIP1","GLI3","CLIP1","ERCC2","C2CD3","CTLA4","HIF3A","CHD3","PKN3","HSD17B12","PIK3C2A","LYZ","CENPE","RHOT2","TAF4","NUP62","PPP2R3B","TAF1B","PTGS1","CYP2B6","MED13L","ACOX1","HLA-DPB1","PIP4K2C","EPHA10","M6PR","NUF2","FLNC","LAMC3","LAMA2","MUSK","NUP153","CUL4A","NOX1","PPP2R3A","LNPEP","ARHGAP1","CAMK1G","XIAP","RANBP9","INHBA","KNTC1","AHCTF1","ZWILCH","NDC80","ABLIM2","KLRC2","ADCY10","AP1S3","CWC22","CWC27","PCF11","BRPF3","CYP7A1","MTA1","ABL2","ARHGAP17","VDR","TNIK","GZMB","PIK3C2G","DYNC2LI1","FAT1","ERLIN2","GBP3","SMPD1","COL2A1","RAPSN","SORBS1","TNS1","CD82","FCGR3A","CBLC","DTNBP1","MYO10","IQGAP3","CD3EAP","HLA-DOA","CACNA1A","UMPS","GRIN2C","HLA-C","HLA-B","CACNA1S","BCL9","ITGA7","PHC2","RYR2","TPR","CDRT1","GSTP1","USP39","CALD1","DDX58","SEMA4D","MATK","STARD13","ARHGEF17","ARHGAP30","DEPDC7","ARHGAP15","ARHGEF4","SRGAP1","TAF1L","IQGAP2","FGF5","CTSC","RAD1","IFNGR2","DPF2","PLIN2","KIF15","PLCD1","ITGAL","COG2","COG1","LIMK2","PNPLA7","TAF7L","PHF21A","NUPL2","DOCK6","GSTM3","PDIA2","GPC5","KDM4C","LBP","SMG6","TRIM48","TRIM22","TRIM31","TRIM5","GBP7","GBP4","GBP2","OBSL1","ZFYVE28","ALDH1B1","COL4A4","ANK3","PTPN3","GOLGB1","PLXNB2","COL4A3","IRAK2","GUCY2D","SLC2A14","ADRB1","GRK4","STRN3","YEATS2","COL24A1","TSC1","MEP1B","PARVB","CTBP2","ADSSL1","HLA-DQB1","HLA-DQA1","GRHL1","GRIN3A","GRIN3B","AGXT2","KRT14","OR52J3","CACNA1H","CD2","ISG15","CACNA1B","NUP205","NUP54","GLP1R","PGM1","PER2","SYNE1","AKAP1","UGT2B7","CYP2D6","USP10","IDO2","CRYZ","SIRPA","KLKB1","COL6A6","SCN1A","OR52E2","MUC20","VAPA","MC5R","TAAR6","GPR15","LRP1","SELP","BARD1","IFNAR2","SERPINB5","APEX1","CALU","EPRS","FMO2","FMO3","HSPA6","C7","SOX7","C8A","SP5","KRT1","CNGB1","USP34","RETSAT","IQSEC1","PTPN12","COL6A1","COL6A2","LMO7","PDE6C","OR13G1","OR8B4","OR11A1","OR5L2","OR51I1","OR51A7","OR2W3","OR5H1","OR5H2","OR6C6","OR6K3","OR4A5","OR2T2","OR4A47","OR2F2","OR5H15","OR5H14","OR10J1","OR2H2","OR6C68","OR5K2","OR10C1","OR5M1","OR51E2","OR8J1","OR2C1","OR5W2","OR4A15","OR5D14","OR2V2","OR5AU1","OR10J5","OR8U1","OR5T2","OR8H2","OR5AK2","OR51I2","OR1L1","OR1L3","OR10T2","OR14I1","OR5B2","OR6A2","OR52B6","OR10Q1","OR6Q1","OR2AG2","OR4K15","OR5D18","OR4N4","OR2Y1","OR52D1","OR4Q3","OR7D4","OR2B11","OR10H2","OR10H3","OR10H4","OR10H5","OR1I1","OR5F1","OR8A1","COL9A1","BDP1","SCN5A","ZFPM1","PRTN3","RYR3","DMP1","SNAI1","IBTK","SIRPB1","KRT5","POR","CYP4A22","LTF","BCL6","AOC2","NUMA1","SHANK2","PLCH1","NR2F6","TOPBP1","NODAL","TMF1","TP53BP2","EXOSC3","THADA","CPB1","ORC1","OPN1LW","PKD2L1","TTN","AKAP6","CNGA1","MMP14","TIMELESS","TULP3","TMPRSS2","THOC5","MYH6","IL10RA","BRCA2","TTI1","RRP8","KDM3A","TACC3","LGMN","KANSL1","PEMT","PLD4","ASXL2","CARD9","RNF31","ALPL","DNMT3B","BOC","KIF19","KIF20B","IFT172","OR2T35","TNFRSF10A","TAS1R1","TAS1R3","MTMR2","KCNU1","SKIV2L","APLP2","NEB","SRPRB","NACA2","CUBN","SOAT2","ILKAP","PPP6R1","MBD6","CDO1","ZNF14","ARSG","ETV1","PTPN23","PRSS3","NEFH","LSP1","LEPR","UBR4","SEC16B","TRAPPC5","SEC16A","ENPP1","IBSP","EML4","ALK","SCRIB","DLGAP2","PDE4DIP","P4HA3","PDE11A","PDLIM5","RUNX3","EFCAB6","CABP5","PCMT1","HIVEP1","CLSPN","IARS","PKD1","TTC27","IL17RD","NSD1","LATS1","EPC1","DMAP1","TNIP2","LIPG","PNPLA3","PNPLA2","SYCP1","SYNE2","SMC1B","GOLGA1","ACYP2","WRN","ZNRF3","NBAS","UPF3A","UPF2","RPL3L","RPL8","TNXB","GMPS","GMPR","CCNG1","ENTPD6","RAD17","DCAF13","AMPD1","STAB2","BAHD1","FOXG1","PARP14","PCSK5","SLC25A6","ACSBG1","EVC2","IL27","EPHX2","CSPG4","VPS53","CNTN2","LAMA4","LAMA1","FBXO41","HECW2","UBE3B","UBR2","HECTD2","PJA2","RNF213","ASB2","TRIM37","UBE2Q2","UBOX5","UBAC1","RNF126","FBXL19","SIK1","PRODH","FBN3","CEP170","ORC4","ORC3","AK8","CETP","NSUN2","ARID4A","DNMT3L","GPT","APLF","HS6ST3","GLCE","B4GALT7","INHBC","NID1","CHMP4C","SDK2","ZFYVE19","SESN3","DSPP","DNAH5","DNAH8","COL11A1","ABCC3","STK36","EIF2AK4","KIR2DL3","KIR2DL1","KLRC1","OXCT1","CES3","SCARF1","GFAP","AHRR","SIM1","NPAS3","MCAT","IL13RA2","ACADS","GCAT","PADI4","KDM2A","KDM2B","PRDM9","MSH4","HJURP","RSF1","TBC1D1","FANCA","FANCF","TP53RK","COL15A1","ACAN","COL12A1","COL14A1","IMP4","HEATR1","UTP14A","EVI5","COL28A1","TCTEX1D1","TRAF3IP1","IFT43","IFT80","MYBL1","RALGAPA2","MCM3AP","IL17F","C4BPA","GLA","GAA","CDA","SLAMF1","CAPG","PCLO","CR2","CFHR1","ADAM28","CFH","SCAI","POLH","GABRA4","CNPY3","MUC16","GOLGA5","SLC16A8","ADAMTS14","PRSS54","GAS8","KREMEN1","GPR50","NADSYN1","ADAMTS2","SPON2","FAHD1","DNAH17","DNAH2","CCDC114","TUBA3C","DDX18","AMOTL2","SCAF11","ZFAND2B","ATF5","OPA1","ST3GAL3","PRELP","B4GALT4","PANK4","CCRL2","GPLD1","VPREB1","EME1","MUS81","NTN4","NID2","MEP1A","ADAMTS13","SEMA5B","THSD7A","FANCM","ADAMTS16","ADAMTS18","ADAMTS5","TLR8","ADAMTSL1","SCFD2","SLK","CHRD","DDX24","DNAH6","CDH24","CDH11","CDH18","CDH9","CDH3","MYH13","SVIL","ZNF423","SNAP47","PPT1","CHST5","CHST6","CHST13","CHST12","CSGALNACT2","SRP72","EIF5B","KXD1","ENGASE","ADD1","LGR5","MIA3","REV1","MIA2","MRPS27","GFM2","PTPRZ1","PTPRG","ICAM5","MYH15","MRPL23","FYTTD1","ATRX","SCYL2","FKBPL","ELN","SETMAR","EPSTI1","REG3A","DNAH10","TAPBP","MRPL10","MRPL35","MRPL52","MRPL47","MRPS31","MRPL3","TPSAB1","LARS","CCDC130","PASK","PAPPA2","FYCO1","IL10RB","FBLIM1","KIAA0753","ASCC3","USP35","MARS2","TDRD9","PIWIL4","CALHM1","KRT2"
"Glucuronidation",0.917859591334884,0.918627774162578,0.939968730201963,0.919527754744873,0.918799660095643,0.919354565554853,0.920485685813383,0,0.91908710566372,0.919718378741016,0,0.919010168698443,0.919144180275601,0.919258320483767,0.919063482855026,0.920132872049582,0.919324832243621,0.919267588925543,0,0,0.920354984158755,0.919948160376885,0.876866873400044,0.921460776956097,0.942259448745465,0,0.919718378741016,0,0.918589701229721,0,0,0,0,0,0.92096861067066,0,0,0,0.919948160376885,0,0,0.920194909374598,0,0.917908042321914,0.918924112827131,0.921159469785168,0,0,0,0,0,0,0,0,0.920431502103565,0,0,0,0,0,0,0.917859591334884,0,0,0,0.91989826028718,0.919746421489109,0,0.920700130990854,0,0.920884741460516,0,0.918324025365009,0,0.920458255270259,0,0.921393106330776,0,0,0,0.919866195060557,0,0,0,0,0.921460776956097,0,0,0,0,0.919850501949627,0,0.917828422842148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919931276863102,0,0,0,0,0,0,0,0,0,0,0,0,0.92092584586381,0,0,0.941530361369308,0,0,0,0,0,0,0,0,0.918300202543674,0.940812454371879,0.919965304598602,0.920283492355354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921393106330776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920458255270259,0,0,0,0.921159469785168,0,0.920485685813383,0,0,0.921787475973952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918565815048072,0,0,0,0,0,0,0,0,0,0,0.919536503494011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91958254198839,0,0.920713255350833,0.921269744460622,0,0,0,0,0,0,0,0,0,0,0,0.919572173187769,0,0.877492455723856,0,0.921787475973952,0,0,0,0,0,0,0,0,0,0,0.918086772067523,0.919600185571805,0,0,0,0,0.919600185571805,0,0,0,0,0,0,0,0.919914646047587,0,0,0,0,0,0,0,0.921393106330776,0,0,0.918167234946488,0.922649785226984,0,0,0,0,0,0,0,0,0.941657987548886,0,0,0,0.845001380788883,0.941866482875086,0,0.919386502605103,0.922273075809803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92090586714912,0.92090586714912,0,0,0,0,0,0,0,0,0.919263140734949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92200112657263,0,0.920436808626351,0,0,0.919263140734949,0,0,0,0.922912470874793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921329593020232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941438037613238,0.920770188015624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.920643181501311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921787475973952,0,0,0,0,0.920121238176381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918962006944987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921787475973952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92200112657263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944338783715898,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.923089197353502,0.906185314130946,0.91629359705422,0.906776351748177,0.906443282561877,0.906697125808724,0.907214560327046,0.906648892318718,0.906574775440676,0.907271930189487,0.906578739996663,0.906539580384033,0.906563219025622,0.906653098198377,0.906563969112573,0.917742779772192,0.906683524212025,0.906657338076206,0.90667816527528,0.894806311646058,0.907154770444232,0.906968667626228,0.887427454278283,0.907660618835807,0.917341493453588,0,0.906863553294504,0.887050928250471,0.906347236218585,0.896885995085391,0,0,0,0,0.907435475821244,0,0,0.906346352155996,0.906968667626228,0.895188399850896,0.895250737039437,0.90708154373097,0,0.923111361409841,0.906500213855155,0.917183003726855,0,0,0,0.887331173111419,0.887244708104686,0.896572021509788,0.896461645409778,0,0.907189773818645,0.894768645514554,0.89467868656822,0.894782820469078,0.89477427056382,0,0,0.906179701971964,0,0,0,0.906945840673315,0.906876381537781,0.88661947541611,0.907312658947661,0,0.907397109587392,0,0.907358001110571,0,0.907202012138857,0.896378424621162,0.907629662695509,0.907202988491555,0,0,0.906811005959157,0,0,0.896381212093509,0,0.907660618835807,0,0,0,0.887127631780974,0.906923993471657,0.886544215390717,0.923074939228511,0,0,0,0,0,0,0,0,0,0,0,0.897101019649876,0,0,0,0,0,0,0,0,0,0,0.896810076529561,0,0,0.90666444256328,0.906960944209769,0,0,0,0,0,0,0,0,0.886693821292744,0,0,0,0.907415912925905,0.894942717878298,0,0.917007970141234,0,0.896835734724552,0.886422303085482,0.887046944959266,0.905969200251125,0.886564648977805,0.906356407791985,0,0.917044987465399,0.927369176538864,0.906976510304351,0.922893392436922,0,0.906830117300394,0,0,0.886754950706014,0,0,0,0,0.886514967277332,0,0,0.907017654056462,0,0.887730039191994,0.907629662695509,0.897012304346599,0,0.896288483986497,0.886775301002757,0.886775301002757,0.886765026193641,0.886745066761631,0,0,0.897123646372646,0,-0.00785085368504129,-0.00785085368504129,-0.00785085368504129,0,0.917044079020767,0,0,0.88784119649883,0.907522784923205,0.896669783426598,0.907214560327046,0,0,0.907810068328613,0,0,0.895360122970037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906156970739226,0,0,0,0,0,0,0,0.886068447825162,0,0.875077834193373,0.916840851303812,-0.00785085368504129,0,0.895236866252112,0,0,0.88790811736131,0.88790811736131,0.88790811736131,0.88790811736131,0.88790811736131,0.887862484892232,0.887782442025497,0,0,0,0.887272786805603,0.907959602196329,0,0.907318662727396,0.907573230420177,0,0.906789765377265,0,0,0,0,0.896041723780295,0,0.895646314837875,0.886623341155804,0,0.886811024813448,0,0.887713628879039,0,0.907810068328613,0.906849981032143,0,0,0,0,0,0,0,0.906980536975684,0,0.906666114707493,0.906689319082237,0,0.907730324341015,0,0,0.906689319082237,0,0.897278779441371,0,0,0,0,0,0.906953336390927,0,0,0,0,0.906749269343808,0,0,0.907629662695509,0,0,0.906269989012301,0.908204534407371,0,0,0,0,0,0,0,0,0.917066353138318,0,0,0,0.872850484503421,0.917161729980763,0,0.906482791969546,0.90803220750017,0,0,0.878154871655651,0,0,0,0.907790419928666,0,0,0,0,0,0,0,0,0,0.907811657221346,0.906810537613449,0.907573230420178,0.907573230420178,0,0.887357872475225,0,0.887386926838809,0,0,0,0.91688765373324,0.906795871357732,0,0,0,0,0.875088084142835,0.897593295219868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896404135556307,0.896769297016861,0.886960056004088,0,0,0,0,0.907907803466661,0.907907803466661,0.907332769424474,0,0,0.906725682091502,0,0,0,0.908324700782802,0.897143816900919,0,0,0,0,0.91756802227031,0,0.896913806878575,0,0,0,0,0,0.888022845849723,0,0,0,0,0,0,0,0,0,0.886938803709043,0,0,0,0.895986578725728,0.89575171280278,0,0,0.895810975283967,0.907480441956494,0.906747616300656,0,0,0,0,0,0.895856607753046,0,0,0,0,0,0,0,0.886851477703715,0.907730988356933,0,0.917674409328074,0,0,0,0.907479179012769,0,0.907729399464201,0,0,0,0,0,0,0.87508601866719,0,0,0,0.916965736348769,0.907224540378458,0,0,0,0,0,0.906603555400524,0.897476375957347,0,0,0,0,0,-0.00785085368504129,0,0.886593069038281,0,0,0,0,0,0,0,0,0.907368468958975,0.907368468958975,0.907356230638763,0,0,0,0,0.897884864200067,0,0,0,0.878027670184621,0.878018719197401,0.877726337379752,0.877711203642494,0,0.90731185034391,0.897624631187818,0,0.897452844080329,0,0,0.897554347310533,0,0,0,0,0,0.887730039191994,0.923454816624124,0,0,0.90710726855416,0,0,0,0,0,0.875096425303823,0.875096425303823,0.875096425303823,0.875096425303823,0.875096425303823,0.875096425303823,0.875096425303823,0.875096425303823,0.875096425303823,0.875094327999934,0.875094327999934,0.875092238747138,0.875090157482251,0.87508601866719,0,0.907548872476336,0,0,0,0,0,0,0,0,0.88784808855329,0.907105887607064,0,0,0,0,0,0,0.906489036773736,0,0.917039226444516,0,0,0,0,0,0,0,0.907810068328613,0,0,0,0.896213632989559,0.907214299429854,0,0,0,0,0,0,0,-0.00785085368504129,0.897670812042059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896913655711301,0,0,0,0,0,0,0.90668400545862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907689901953182,0,0,0.897014921057402,0,0,0,0.907535565044486,0,0,0,0,0,0,0,0,0,0.90778763709123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886750386532554,0,0.9182926917729,0,0,0,0,0,0,0,0.896770649322512,0,0,0,0
"Interaction between L1 and Ankyrins",0.931262027517728,0.930569689047651,0,0.906523999485068,0.905918247122638,0.929340222745297,0.931857148368921,0.929565907791174,0.930513586410437,0.929689724028467,0.929497684508302,0.906120474610797,0,0,0.930490892890069,0,0.906422759731264,0.930686969712629,0.930809805371899,0.929949219423323,0,0.931340768432906,0.929359686997769,0.932793880786954,0,0.929473149163487,0.930156221044496,0,0.950401513570567,0.930751400010791,0.929075668210299,0.929038351456413,0.929009373980566,0.929395080351069,0.931357270594897,0.929441259043572,0.929706479721984,0.929936681697445,0,0.950573756982489,0.906819183663341,0.929295048762662,0.950603212947731,0,0.930357005484561,0.931401100969699,0.906451261772789,0.906412073632165,0.930914662890672,0.930189505693173,0.930686969712629,0.930092048780189,0.929860256607134,0.930753822719006,0.930701770520712,0.930219682626681,0.930030766913455,0.930249450334651,0.930231495350564,0.93146179794609,0.929215482393485,0.930158701867813,0.90817476807402,0.908179862162763,0.928922480768491,0,0.931146965671421,0.930576474813402,0,0.930927755693059,0.932240505723832,0,0,0.931499072505986,0,0.928617638811457,0,0.930808619712062,0.93009963054974,0.929240477182025,0.93091246463182,0.928528636239164,0.907618188829477,0.928623492563061,0,0.932444317901046,0.906394920271184,0,0.93062826268506,0.930079216731896,0,0.930418427148841,0,0.908045209405931,0.907754345764763,0.908551416210778,0.908551416210778,0.908544333443423,0.908544333443423,0.908544333443423,0.90851644383547,0.908509579002814,0.928693677363813,0.930840219327772,0,0.930840219327772,0.930840219327772,0.930840219327772,0.930840219327772,0.930840219327772,0.930809805371899,0.930678065878417,0.930444427994905,0.908115358040994,0.930896665455169,0,0.930205246860634,0.930255003639064,0,0.90700534766579,0.92978954418957,0.929964759373555,0.90821091702368,0.908248258184346,0.908248258184346,0.929302300688567,0,0.930829987078211,0.930732602745999,0.929128243738786,0.930971134570416,0.931137180073917,0,0.930948192808057,0.908792021689528,0.9288600106736,0.928837394727821,0,0.950528173095726,0.930695946138546,0.93090371188142,0,0,0,0,0,0,0,0.950615214732542,0.906888804545898,0.93162023891124,0.92909095310724,0.930860975822582,0.930955351330939,0.931007675338959,0.931007675338959,0.931452670769454,0.90603780405736,0,0.908197461756584,0,0,0.931027133001673,0.931298570172156,0.906942826090526,0.931690555137039,0.908136172154125,0.93090371188142,0.93090371188142,0.930882134562303,0.930840219327772,0.931834995929184,0.931099165598671,0.93001898470359,0.93124695175188,0,0,0,0.932279993137267,0,0,0.908091525132959,0.907950989889048,0.932504426619614,0,0.907444246882266,0.930454243209095,0.950812614408788,0,0.930495123143158,0.931357238224867,0.930358472296175,0.930959603147199,0.930808619712062,0.930539499739714,0.931305271807693,0.934188467092923,0.930128759500082,0.930701770520712,0.930127266801577,0.930539499739714,0.930387635776627,0,0.946863317137959,0.93016814673564,0,0.931111776060952,0.930568415786742,0.930521255164673,0.929970355501705,0,0.930114096191102,0,0.930346796370396,0.928988125091408,0,0,0,0.90778958976193,0,0.908042472094672,0,0.908091525132959,0.908091525132959,0.908091525132959,0.908091525132959,0.908091525132959,0.907995695970953,0.907827604237177,0.931160692436174,0.909021802842261,0,0.931174596566931,0.931055480804812,0.930388513531789,0.908091525132959,0,0.951155753453093,0.930867858955109,0.930701770520712,0.951226740220473,0.951226740220473,0.931137180073917,0,0.931685305696497,0,0,0.910125128492177,0,0,0,0,0,0,0.931685305696497,0.931685305696497,0.931685305696497,0.931662908919343,0.931373966538522,0.931373966538522,0.931055480804812,0,0.932832789481971,0,0.930656919585104,0.952719456861083,0,0.951690313490883,0.908143094932714,0.930656919585104,0,0,0,0.908753463020218,0.910284709425114,0,0,0,0,0,0.907650256085744,0,0,0.932728872229589,0.932728872229589,0,0.931400086334299,0.931400086334299,0,0,0.931765067188185,0.930358472296175,0.93183007574555,0,0.929772654142222,0,0,0.908860829401956,0,0,0,0.9323491687623,0,0,0.931731588334975,0,0,0.931916036285622,0,0.930668962937294,0.953323032990132,0.931592191377965,0.930304907386394,0.931522280482107,0.908870268254281,0.908870268254281,0.908870268254281,0,0,0.930404482903959,0,0.933936115131886,0,0.907837504472264,0.930453883252464,0,0,0,0.931237555386607,0,0.931298570172156,0,0,0.930772189191152,0,0,0.932505813074453,0,0.930718522137562,0.930731275059368,0.905208744654899,0.909738367736422,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.932055556894133,0.930693458887392,0,0.953494731756991,0,0,0.931589059878104,0,0.908348656016838,0,0.933204923176183,0,0,0,0,0.933312973803703,0,0.932165841181624,0.908875271266529,0,0,0.931292831343087,0.908236794992167,0.930569689047651,0.932504426619614,0,0,0,0,0.910359373967322,0.929472758725205,0.907271705062559,0.929472758725205,0.931508019521666,0,0,0.931899654647857,0,0,0.906757025156746,0,0,0,0,0,0,0.932938321579099,0,0,0,0,0,0,0,0,0,0.931188682832814,0.931188682832814,0.931731588334975,0.912656898222323,0.932504426619614,0.912054983375376,0.911856728921296,0,0.931704052402636,0,0,0.907362326003021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93016814673564,0.929995487412424,0.930147508611987,0,0.931027133001673,0,0,0.910029982458178,0.90915127454863,0.933145563956187,0,0,0.909263135573301,0.909255023510226,0,0,0.931575741290242,0.930417242866659,0,0.907438430669373,0.931125694361936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930453883252464,0,0.931146965671421,0,0.931232085149996,0,0,0,0,0.931099165598671,0,0,0.933204923176183,0,0.931324549092992,0,0,0.933085141443009,0,0.909115502901715,0,0,0,0,0,0,0,0.907295289874634,0.93023260686191,0.93256772385819,0.931405957746056,0.931358628475381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932793880786954,0,0.908525420092444,0.932847975717969,0,0,0,0,0,0,0,0,0,0,0,0,0,0.907995695970953,0,0,0,0.933019361935536,0.910125128492177,0.930735539124191,0.930735539124191,0.906879929856433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933574224937428,0,0,0,0,0,0,0,0,0,0.931884185309897,0.931857148368921,0.931830796905081,0.931830796905081,0,0,0,0,0,0,0,0,0.933085141443009,0.906263369751772,0,0,0,0.910125128492177,0,0.909775565606269,0,0.931363578729521,0,0.929977930978876,0.93093358931827,0,0,0,0,0,0,0,0,0,0,0.931025071523894,0.931025071523894,0.92970611465854,0.932610363243239,0,0,0,0.932127335438128,0,0,0,0,0,0,0,0.93177462111875,0.932938321579099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932329504054249,0.908900072317048,0,0,0.931677425863966,0,0,0,0,0,0,0.907953204734592,0,0,0,0,0,0,0,0,0,0,0,0,0.928153213108781,0,0,0,0,0,0,0.953372844044272,0.953372844044272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954554231490814,0
