"","NRIP1","TP53","TCF7L2","PYGB"
"Phase II - Conjugation of compounds",0.795707226940877,0.791874384636804,0.794445438456552,0.826105848076766
"Glucuronidation",0.835617761044419,0.828367626118894,0.833230984852477,0.8921590548395
"Collagen biosynthesis and modifying enzymes",0.838245718956305,0.876419891799813,0.839247481363126,0.879558917686519
"Collagen formation",0.812913592465244,0.848132681964551,0.850219027044567,0.850566089984726
"RA biosynthesis pathway",0,0,0,0
"Cytosolic sulfonation of small molecules",0.546209769747726,0.528488496659097,0.540375848981652,0.685880159787144
"Signaling by Retinoic Acid",0.613916043700847,0.539646836200132,0.543419587078257,0
