"","ACACB","TP53","TNN","TGFBR2","LAMC3","LAMA2","APC","NPFFR1","NPSR1","NMUR2"
"Collagen formation",0.884057422770004,0.882710080023949,0.885570320067454,0.884764436646181,0.884201954347731,0.884201954347731,0.884106533325503,0.88403866830335,0.883351269185833,0.882993458855659
"Assembly of collagen fibrils and other multimeric structures",0.845391480758593,0.846974594477612,0.847487886467849,0.849705197447077,0.845583588765088,0.845583588765088,0.848830727677991,0.84536655275837,0.844452877863182,0.843977284706909
"Collagen biosynthesis and modifying enzymes",0.887641076663532,0.885488871977974,0.887226179670932,0.889000593648967,0.888206399158888,0.888206399158888,0.888081131084687,0.88761486607991,0.88665418122636,0.886154118081264
"Activation of Matrix Metalloproteinases",0.869061640078014,0.8663334583517,0.871741864397031,0.86938668383379,0.871176564942704,0.871176564942704,0.869619462685889,0.869028414969011,0.867810629839284,0.867176738860601
"Collagen chain trimerization",0.817102969543399,0.81329219677531,0.816368337669596,0.819510180316898,0.813625533462351,0.813625533462351,0.81788214608542,0.817056560120088,0.815355536187193,0.814470105991616
"Ethanol oxidation",0.551987179667486,0.362665588024434,0,0,0,0,0,0,0,0
"The canonical retinoid cycle in rods (twilight vision)",0,0.460251730433815,0.48127751745003,0.4740024193391,0.475211974315398,0.475211974315398,0,0,0,0
"RA biosynthesis pathway",0.358124838368597,0,0,0,0,0,0,0,0,0
"Scavenging by Class A Receptors",0.329680171266366,0.315987044209938,0.340979142196541,0.3394291726113,0.334846761053874,0.334846761053874,0.331422259717477,0.333943351134712,0.33014018973451,0.328160538609517
