"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Regulation of insulin secretion",0.890074920177888,0.871969537126727,0.851589688191206,0,0.871705048351435,0,0.891699534640837,0.872174295894251,0,0,0.849518801350676,0,0.852164862764404,0.87420069855068,0,0.874626003404263,0,0.87346617197323,0.84924996738108,0.872002225394444,0,0,0,0.852677434882114,0.872683552188632,0.874955938325344,0.890604153940287,0.871533948563683,0,0.89371457431116,0,0,0.872762795162907,0.829427768406231,0,0,0.889952514168159,0.873003430155192,0,0.87270022335584,0.871318163741196,0,0.873632581237517,0.892668279807572,0,0.892668279807572,0,0,0,0.87438782101218,0.889550890526601,0.875504703477219,0.873478133648073,0.871985578144885,0.873345003162371,0,0.89029652037725,0.872716947988717,0.870812430827264,0.850788854522906,0.872115434875468,0.87280657520432,0.893570967316363,0.891207804359997,0.870381249011739,0.875174768556138,0.87228128207119,0.870334366166121,0.892770518214663,0,0.87124362133035,0.871084449459478,0.87246840453269,0.8739145644384,0.852231209312142,0.893376019332193,0.874281291016133,0,0.848533645881469,0.872647567697898,0.869935286544223,0.874626003404264,0.874344872046185,0.874296068483184,0,0.872813250964783,0.850915894434892,0.874296068483184,0.851570111978106,0.849657740398001,0.850067609936397,0,0.848537802958317,0.872466782305472,0.891274663013665,0,0.871491029092614,0,0,0,0.848870490864403,0.890408951308247,0.889887088787295,0,0.891551893163345,0.870206529458756,0.849811315131705,0.890800666465353,0,0.892406986573186,0.875504703477219,0.871786519564437,0.871891612721186,0.871882989788103,0.872788046215544,0.872421605232417,0.890006880634678,0.872520678830516,0.872216273187257,0.874507025093069,0,0,0.872451107101266,0.873276012843301,0.853468867690943,0.828826755768558,0,0.890477937441524,0.850358968782898,0.852306600273024,0.871623813187223,0,0.848537802958317,0.86996465405471,0,0,0,0.893905495350294,0,0.830151556819249,0.872183422840334,0,0.873731235931147,0.850715704367221,0.873021639843118,0.891433540480519,0,0,0.873560679198,0.873338323240053,0,0.872153453914315,0,0.873827600727431,0.851525769001637,0,0,0,0,0,0.890006880634678,0.890493907323052,0,0.890263717399355,0,0.873174321280437,0.871314633077187,0.871898374268225,0.848985386217566,0.890011963032614,0.871680076023601,0.871936113502168,0,0.872230475477062,0,0,0.872256572996018,0.873722423344078,0.873819703699017,0.848525379476874,0.87143593453878,0.851069938546078,0.872329666948232,0.873469734164155,0.875030681335003,0,0.85148670774457,0.891905778403744,0.848537802958317,0.87155596723458,0.892807323658002,0.8735168783892,0.873093917239744,0.873799669085235,0,0.848529504762734,0.872069450534518,0,0.873584629517319,0,0,0,0.851410217806183,0.850051782604697,0.848537802958317,0,0,0.848097169335547,0.873044429310572,0.873045460278537,0.86967961773413,0.872435536250717,0.893858120300984,0.848909478211517,0.892744769745959,0.848734302791939,0.872824690309182,0.872147373504644,0.890604153940287,0.890604153940287,0.890604153940287,0.890604153940287,0.890604153940287,0,0,0.851560438565708,0.870651347265083,0,0.872616138572623,0.873410232482687
"Adrenaline,noradrenaline inhibits insulin secretion",0.918009402924715,0,0,0,0.880767758155079,0,0.921303019520866,0.88171907400876,0,0,0,0,0,0,0,0,0,0,0,0.882628049800882,0,0,0,0,0,0,0.91908233015935,0,0,0,0,0,0.879643061792847,0,0,0,0.917761246531732,0.880130906399847,0,0.879516208593577,0.880911093131468,0,0.886206602115074,0,0,0,0,0,0,0.886689474511796,0.91694702609888,0,0,0,0,0,0.918458657877796,0.883565761807211,0,0,0.882082616168832,0,0.91580428374541,0.880667598054322,0.878083990667696,0,0.882798199310235,0.878471816441405,0.882160476466375,0,0.881274612863899,0.879684654469493,0.882798199310235,0.881558591899299,0,0.919232705553465,0.880335531378191,0,0,0.879409458621299,0.877759967131437,0,0,0,0,0.879938697508183,0.838634474336195,0,0,0,0,0,0,0,0.920441667935981,0,0.881162193494425,0,0,0,0.834474758049368,0.879048065710413,0.917628608219606,0,0.881365176845538,0.830382999312192,0,0.879359326058309,0,0,0,0.833130321319414,0,0,0.877077001653215,0,0.917871464863826,0.879152214032502,0.878349073865647,0,0,0,0.882280259450733,0,0,0,0,0.918826448678227,0.83899217892791,0,0.880603068321804,0,0,0.877722290954767,0,0,0,0,0,0,0.88222044966381,0,0.881064621799359,0,0.880167823300276,0.878196786966984,0,0,0,0.87995494627623,0,0.88286919392905,0,0.878932882690873,0,0,0,0,0,0,0.917871464863826,0.918858824769933,0,0.918392155679975,0,0.879139589103389,0,0.833357086818033,0.834707687923272,0.91788176852083,0.881892476072029,0.88171907400876,0,0,0,0,0,0,0.885537717800363,0,0.878348240380009,0,0.878142785958687,0.886020590197086,0,0,0,0.880407370447963,0,0.879273149407179,0.918942006192319,0.881365176845538,0,0.886689474511796,0,0,0.879833363090488,0,0,0,0,0,0,0,0,0,0,0,0.885014228790928,0,0.883254360307986,0.883110922197605,0,0,0.92342204761499,0,0,0.879989247935911,0.91908233015935,0.91908233015935,0.91908233015935,0.91908233015935,0.91908233015935,0,0,0,0.875760735350467,0,0,0.880912971364857
"Integration of energy metabolism",0.904651190303843,0.889746058206492,0.87344546536857,0,0.889534944057721,0,0.90594795270538,0.889795097127649,0,0.871141572337289,0.874138711770832,0,0.873560274429118,0.892476822986428,0,0.891439132808687,0,0.891394137200127,0.872064835178525,0.890251386332357,0,0,0,0.876042721206048,0.89050609936415,0.892319911176776,0.90507362310889,0.889192264678086,0,0.906205296190907,0,0,0.889282245189293,0.870584319595014,0,0.874088206404113,0.904553486193263,0.889474319319867,0,0.889232300560182,0.889385269849307,0.871960142996452,0.891526964576786,0.906721202197823,0.872641532783823,0.906721202197823,0,0.875276696137998,0,0.891505705818249,0.90423291140471,0.893021286944887,0.891254324384508,0.889758862099171,0.892023530349141,0,0.904828070919681,0.890796108858264,0.889152649356985,0.872461948769418,0.89016662230304,0.890677532561054,0.905900553045069,0.905555455067058,0.888741644453613,0.891877155510352,0.890128261107971,0.888894339179004,0.906802808588344,0.870454593901978,0.889620103929512,0.890528171972377,0.889973633329511,0.8917520427237,0.889922307323637,0.905472305955346,0.890240238093569,0,0.871098374162616,0.889190270971621,0.888575795019326,0.89205655811033,0.892095512968237,0.891396980530264,0,0.889661995920437,0.872686252727609,0.891175779742241,0.890674484298726,0.889561863591114,0.890193278730708,0.872188063244944,0.871101692328913,0.890333074292245,0.905608821444295,0,0.890543693795969,0,0.875416508953617,0,0.871761938158762,0.904917812952275,0.904501263850088,0,0.905830105719965,0.888792300301823,0.87375499300013,0.905230478818197,0,0.905530048427133,0.89275793387844,0.889869417307853,0.889873975651663,0.889660984811102,0.905371633664091,0.890370250681771,0.904596881344109,0.888749511596371,0.888468261003534,0.906848829247257,0,0,0.890583915457615,0.890902875690693,0.875432348777861,0.890241120951548,0,0.904972877477368,0.872950036777998,0.874504630403772,0.889733455459246,0,0.871101692328913,0.889052705617176,0.890910963912423,0,0,0.906357688792879,0,0.856820541033363,0.889746161795678,0.870502398895834,0.906209489556004,0.890823720220651,0.889488854238265,0.904524655277716,0,0,0.890486982290957,0.890657856181394,0.875168965877847,0.890346329574726,0,0.890594926468437,0.873881373220133,0.870454593901978,0,0.874682830851141,0,0,0.904596881344109,0.904985624589003,0,0.904801887680911,0,0.889950201165637,0.890279615420841,0.889958699397613,0.871853647285752,0.904600938098929,0.889968480759271,0.889548760222199,0,0.88952702958748,0,0,0.890428638917086,0.891475396673726,0.891676325165463,0.871091775943212,0.90594795270538,0.873517530714896,0.890486982290957,0.891315577540313,0.891488689657253,0,0.87385019464166,0.906112575859604,0.871101692328913,0.889869417495356,0.905621204897979,0.889586359730257,0.891115172401329,0.891578930606759,0,0.871095068734037,0.890279278328409,0,0.891488689657253,0,0,0.870868194680651,0.872957919082267,0.872310146351016,0.871101692328913,0.874364857187836,0,0.871144675229131,0.890582775171737,0.891058326384696,0.888370421906749,0.890571486851313,0.906319874170323,0.889693109902747,0.906782256237694,0.889553285407174,0.890882108455966,0.890341476209925,0.90507362310889,0.90507362310889,0.90507362310889,0.90507362310889,0.90507362310889,0,0,0.873909046362404,0.889147352543408,0,0.889834864715991,0.889940475138873
"Ion channel transport",0.910799572608355,0.900152786555197,0.888455119183125,0,0.911280725054981,0,0.900352237123606,0.900367434761819,0,0.887109954736199,0.889032699335747,0,0.89944657832346,0.888169336408301,0,0.888595667838283,0,0,0,0.889020782286252,0,0,0,0,0.888661792524711,0,0.899733896781761,0.897249022821906,0,0.899966881739545,0.887752917200055,0,0.898815667764277,0.886982434551999,0,0,0.899366047358036,0.898951505764084,0,0.899760625421553,0.900335271997486,0.88788538649062,0.888834978074649,0.889841549940038,0.888367276610484,0.889841549940038,0,0,0.889465456122039,0.889455833846073,0.899226516942278,0.902574712730039,0,0.900161841679727,0.900929234541042,0.887390147372444,0.899647423588258,0.889622615502621,0.897823663520193,0.898455416701698,0.887011317210111,0.889109068514677,0.900115389261355,0.90026747195672,0.899158498630199,0.888905444732683,0.888933706092512,0.886597256157447,0.887519957243522,0,0.900570945841629,0.889920757337134,0.887615669153628,0.901163565435076,0.888860584744612,0.888172616906147,0.900495710730416,0.887714187291972,0.898118296790671,0.89875062207736,0.899592309531059,0,0,0.888409420196906,0,0.900012718952707,0.889425850958213,0.888409420196906,0.899110842625061,0,0.900574698578724,0.888046575457495,0.89812064345272,0,0.900112397890494,0,0.90039618647467,0,0,0.888966809448239,0,0.899710890636994,0.899329114853795,0.887988894792598,0.911633321076138,0,0.887771999321706,0.899932013105218,0.923939699604395,0.888999146305625,0,0.889204865516131,0.888750585144824,0,0.900458171575269,0.900699856067566,0.899396737125964,0.897587947946047,0.899133442466631,0.887833600709902,0.890463784284411,0.890644128886366,0.886880102396202,0.887833600709902,0,0,0,0.899749833179264,0.900859205415539,0,0.900249503961036,0,0.89812064345272,0.886388554367066,0,0,0.889465456122039,0.900074656306455,0,0,0.887351289223199,0.886719410659879,0.900512474833085,0.898628531138358,0.898961785098612,0.899393238774072,0,0,0.888646961938128,0.900389738627282,0.888905444732683,0.90090931904302,0,0.899492570834193,0,0,0,0.887988894792598,0,0,0.899396737125964,0.899671662774029,0,0.899628906369034,0,0.888273986577277,0.898243731230789,0.887717406194417,0,0.899399606130024,0.921145278235135,0.887315191869695,0.887568604047083,0.888783861303969,0,0,0,0.888615438328547,0,0.898113630420851,0.899973540310013,0,0.900596162949585,0.901892440552887,0.889465401498903,0.887291887005382,0.887786519177199,0.887312910145116,0.89812064345272,0.899365379235714,0.911059251532066,0.900356079160979,0.901301013814001,0,0,0.898115959136947,0.900741149192641,0,0.888621344065154,0.889109199428048,0,0.887113142593605,0.89902058266624,0.898253748554192,0.89724221565349,0.889070556276076,0,0.897294215543277,0.899220197945727,0,0.901290290983955,0.90108225740137,0.900047913180371,0.889116458766228,0.900399756656271,0.889017572571894,0.900548333542376,0.886374595216465,0.899733896781761,0.899733896781761,0.899733896781761,0.899733896781761,0.899733896781761,0,0,0.88726026032199,0.895772198713938,0.887568604047083,0.888933780561134,0.91147762442133
"Regulation of IGF Activity by IGFBP",0.87564129795315,0.876805568961947,0.877558394000795,0,0.876641080195519,0,0.861656525997554,0.877138101430135,0,0,0.851871822092448,0,0.863084327199695,0.864166331483267,0,0.87809710239843,0,0.876422902017344,0,0.876845974377936,0,0,0,0.85347612947189,0.877249623559782,0.853252157836235,0.861463601830918,0.861631033663363,0,0.876778706403343,0.850172775706772,0,0.876274045836211,0.851119227424807,0.877073301284596,0,0.875315767103983,0.876129375662806,0.891379963216934,0.875940807689201,0.876685050396437,0,0.877590431124809,0.86428790571456,0,0.86428790571456,0,0,0,0,0.875315397578675,0.878650812623214,0,0.876815545065039,0.863997567820541,0,0.875779113795781,0.864126733183212,0.876350452796923,0.862228571041463,0.863013891107801,0.877531323575901,0.888356842358122,0.87661035454945,0.875817793384407,0.878438386079718,0.862933024873189,0.876141955400324,0.862663224965783,0.876398276217222,0.876354113153492,0.877326133060312,0,0,0.863128495580369,0.875920511961397,0.863791372756237,0.850130106657385,0.875934857548484,0.876202384482881,0.876962303687024,0.853046967320645,0,0.875951007273941,0,0.888321113750908,0.851495113648642,0.87789191188284,0.862714444496497,0.851267919887143,0,0,0.875937442884826,0.876616085876284,0.861392293196873,0,0.87707372459926,0,0,0,0,0.87611353818023,0.875275078268778,0,0.876824347535512,0.876483349926132,0,0.87635715057139,0,0.875904304031319,0.878534438902516,0.862438424113876,0.877395835645756,0,0.87667232133516,0.863527971259692,0.87534957826668,0.876659394575847,0.876751945242083,0.877257526950218,0,0,0.876635370405198,0.851809393205927,0,0,0,0.860896799932938,0.862925530893183,0,0.876795749580536,0,0.875937442884826,0.875912026969249,0.851119227424807,0,0,0.876897442505386,0,0,0,0.849649490904681,0.87666591660008,0.864956514502384,0.876140700487841,0.876057585893642,0,0,0.876559845306088,0.876243609184913,0,0.877639046852407,0,0.876078204023563,0.876941309760192,0.876398276217222,0.877257526950218,0.863257118609672,0.877675134811094,0,0.87534957826668,0.861395038127025,0,0.875758713227314,0,0.87625798810451,0.864532577367666,0.862507987906233,0,0.875352739071391,0.877191295170793,0,0,0.87717304019177,0,0,0.877132208547406,0,0,0.875929716571545,0.863947431862625,0.876811175539219,0.876824347535512,0.878104338426336,0.85226763485402,0,0.862956898379333,0.86306682780107,0.875937442884826,0.876548364846893,0.888865523182794,0.877029538051101,0.864325262577663,0.878309528941926,0,0.875932282136686,0.862148446778171,0,0,0.87662738468582,0,0.876559845306088,0.862615004378217,0.863071921800228,0.875937442884826,0.863359822895346,0,0.861408039648451,0.877224652332008,0.863497093332428,0.863924113973227,0.877211753170737,0.876867979389563,0.863587066711808,0.863148195700014,0.863478123000896,0.876867706317982,0.876916167555018,0.861463601830918,0.861463601830918,0.861463601830918,0.861463601830918,0.861463601830918,0,0,0,0.875780580237451,0.877531323575901,0.877412888732698,0.877155319318329
"Binding and entry of HIV virion",0.604896114195281,0.61456036410407,0,0,0.612271693944292,0,0.616099215085608,0.619187167220315,0,0,0,0,0.633867015462023,0,0,0,0,0,0,0.433847639065207,0,0,0,0,0,0,0.609475671562938,0.613646123651459,0,0,0,0,0.773804640415955,0,0,0,0.770170381554923,0.775886899391342,0,0.77326319502751,0.424458145460976,0,0.635486220637702,0,0,0,0,0,0,0,0.766695058101668,0.453870480129332,0,0.614699169993088,0.428646965849591,0.617481171439466,0.60681366159638,0,0.611082938937326,0.621960162332052,0.609966541270337,0.624658396719574,0.6089494494776,0.614699169993088,0.603671601803361,0,0.432512849196279,0.605326952065732,0.623912690485033,0,0.617290081150654,0.611866258560885,0,0,0,0.607262528610785,0.613281815354171,0,0.602445425965494,0.772807555906551,0.613886158052034,0,0,0.637547256811142,0,0.608733028253678,0,0,0.628720527201401,0,0,0,0.602481397918268,0,0.612422722524544,0,0.618291438381175,0,0,0,0,0.607786547181133,0.769604243666048,0,0.61767663387853,0,0,0.611176130690727,0,0.614423738815237,0,0.624658396719574,0,0,0.612706378121259,0.62132718054175,0.770640824618064,0.605376093990733,0,0,0,0,0,0,0,0,0,0.605528509186075,0.626725513331131,0,0.614423738815237,0,0.602481397918268,0.602127764969184,0,0,0,0,0,0,0,0,0.61639377980261,0.62132718054175,0.776044471179898,0.601298060629377,0,0,0.61767663387853,0.420377039833201,0,0.434876910513605,0,0,0.436056602941227,0,0,0,0,0,0.770640824618064,0.608521687248089,0,0.606529811377869,0,0.611857436297489,0.615428587641343,0.625626296103992,0,0.770684803544896,0,0,0,0,0,0,0,0,0.635486220637702,0.602373895241729,0,0.432112217927512,0.61767663387853,0.637547256811142,0,0,0.627998814984008,0.620738868140813,0.602481397918268,0.615897691445698,0.6088767291218,0.614821646147157,0.434345965607287,0,0,0.602409592101216,0.621960162332052,0,0,0,0,0,0.627336933437931,0.615582143064674,0.602481397918268,0,0,0.6105434209027,0.630396833524284,0,0,0.625127969561912,0,0,0.625143827252635,0,0,0.618954202816981,0.609475671562938,0.609475671562938,0.609475671562938,0.609475671562938,0.609475671562938,0,0,0,0.603153824080059,0,0,0.619426734138954
