"","TP53","NFATC1","TBP","NCOR2"
"Collagen biosynthesis and modifying enzymes",0.911193584603263,0.913348440311512,0.912213330125975,0.912624123200558
"Collagen chain trimerization",0.869101704654607,0.87264809923416,0.870779970155367,0.871456040635372
"Collagen degradation",0.841433916970126,0.846567588191243,0.783418773045839,0.786650984544588
"Phase II - Conjugation of compounds",0.804153665433178,0.769735747858502,0.768408399561272,0.768440051522061
"Cytosolic sulfonation of small molecules",0.606233959794395,0.616731527002808,0.61120173889866,0.613202953129699
"RA biosynthesis pathway",0,0,0,0
"APAP ADME",0.62366680502953,0.553422434597903,0.549473558668578,0.550902645381764
"Glucuronidation",0.563697096528468,0.5742072901463,0,0.569905778228538
"Nucleotide catabolism",0.677713402353641,0.676982229573871,0.677662748148015,0
