"","COL6A5","TRAPPC6B","SEC24C","IVL","CD40LG","NOS2","PROS1","APC","SMAD2","APOB","GNAQ","NT5C1A","CASR","CREBBP","NCKAP1L","PIK3CA","GNB4","KRAS","RCC2","CDK5RAP2","PSMD11","IGSF5","SNX1","CACNA2D1","CACNA1S"
"Collagen biosynthesis and modifying enzymes",0.930327528790673,0.93126183991662,0.930313834801625,0.90551992636931,0.901126957107104,0.90128894145346,0.901608399018227,0.901169804173171,0.900978029592333,0.900589564904816,0.900111335814207,0.900052202169036,0.899665518047345,0.899454366516172,0.899448506773861,0.899039220470577,0.899025530680328,0.897702764449651,0.90147884665619,0.901359271492863,0.898527420848827,0.871184666418202,0.870931709926775,0.869117648872544,0.868561327161335
"Collagen chain trimerization",0.892706254909396,0.828240890903947,0.826314855929701,0.841479877007858,0.833567443049512,0.832883905536253,0.832520301872896,0.832641857719272,0.832252234768907,0.831463002134418,0.830491397720427,0.830371257578825,0.829585642469179,0.829156651921056,0.829144746849604,0.828313211531771,0.828285398375078,0.825597971922693,0.762455821105655,0.762212883654184,0.760423614901358,0.767399759721229,0.766822948083087,0.763200259083159,0.762069996117514
