"","NCOR1","BGN","TP53","TNC","MEF2A","IL2RB","SEMA5B","LAMB4","KIF4B","SLC25A3","DSCAM","HUWE1","CHST15","EPHA6","TNKS1BP1","NOX3","MYBPC2","TTN","PRPF6","GSK3A","MED14","PAPSS1","EPHA10","AXL","SLCO1B3","NOS1","CUX1","PDE6B","NR5A1"
"Collagen chain trimerization",0.790406905059276,0.843939956837474,0.837465831796412,0.844895002892522,0.79373882956985,0.791158818550982,0.84638854789365,0.845504352828069,0.787986855449291,0.798575813982981,0.796506268866194,0.789504523405575,0.792080158818534,0,0,0,0,0,0,0,0,0.850482455497213,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.818264040840541,0.820093772728969,0.816061449585991,0.820984219746117,0.821370594944526,0.818965095121959,0.770251549756297,0.768578570751199,0.767443227331867,0.825880407136201,0.769603160712426,0.767477870516759,0.821632669852715,0.821729119616476,0.819143124053279,0.820352670913767,0.76988912548558,0.769682278458258,0,0.772386528597985,0.820534350803786,0,0.822218227562207,0.822064634568568,0.776938448048681,0,0.768445978915443,0,0.723254301649415
"Common Pathway of Fibrin Clot Formation",0.7566488369632,0.829783875443251,0.821139413083296,0.829110257198542,0.760638041138911,0.824382610414299,0.82631757870805,0.82990186175355,0.825903759028568,0.627192543435944,0,0,0,0.750812871133228,0,0,0.826784791861995,0.826496583199188,0.745658454381007,0.762898411572339,0.619743658301829,0,0,0.82829017927455,0.836606909471845,0.824835448309843,0.759769209303476,0.747095798284854,0
"TNFs bind their physiological receptors",0,0.187699288153327,0.179457351782402,0.188824456931489,0,0.00297488332214563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collagen biosynthesis and modifying enzymes",0.85330606899703,0.888962975842735,0.885164221782607,0.889593565375509,0.85564868281592,0.853802535921232,0.9254799605978,0.88999590167031,0.85443048862294,0.8586997653892,0.855166231582171,0.852710252258787,0.857196852032268,0.854017922977568,0.854507053154112,0.855067604886685,0,0,0.853276569792816,0,0,0.893282800160327,0.854364295468052,0,0,0,0,0,0
"Physiological factors",0.748320905140399,0.75523694396872,0.744309381262407,0,0.755090269431742,0.672159794585478,0,0,0,0,0.679692590131701,0.668411343875261,0,0,0.682513124852228,0.679482172822972,0.755376776760824,0.755064258832016,0.668123084525528,0.676459203919009,0.6745307280323,0,0,0,0,0.750741404572728,0,0.742539940969421,0.681706939279105
"Blood group systems biosynthesis",0.649279215767521,0,0,0.657465845752731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
