"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Glucuronidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740920791207367,0,0,0,0,0.738938509063662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740711637316284,0,0,0,0,0,0,0,0.737882486027627,0,0,0,0,0,0,0,0.689335991872453,0,0,0,0,0,0.738998999916848,0,0,0,0,0,0,0,0,0,0,0,0.742242009199478,0,0,0,0,0.740333276156593,0,0,0.689594056239083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747212104920042,0,0.739154725115371,0,0,0,0,0,0,0,0,0.743154685656551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73936427288441,0,0,0,0,0.739800998554182,0,0,0,0,0,0,0.738580356735838,0,0.736720315961354,0,0,0,0,0,0,0,0.687076248845828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689435612149661,0.694556561562474,0,0,0,0,0,0,0,0,0.742180352693843,0,0,0,0,0,0,0,0,0,0,0,0.737354709172488,0,0,0,0,0,0,0.691355930059265,0.739258624067006,0.740235957063844,0,0.739845306791463,0.741235536537329,0,0,0,0,0,0,0,0,0,0,0,0,0.740582635132988
"RA biosynthesis pathway",0,0,0.788459109160419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787092674011195,0,0.843986153049338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787495008456655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787538705288737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847869698142782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0,0.675977840321566,0,0.634351074369128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702310880005156,0,0,0,0,0.701306399954545,0,0,0,0.677965900437943,0,0,0,0,0,0.676705386530786,0,0,0,0,0,0,0,0.704794384957411,0,0,0,0,0.702204895641746,0,0,0,0,0.656316426689521,0,0,0.700771282349793,0.70106850415024,0.652677477818309,0,0.656135223166956,-0.0175846766350102,0,0,0.678469794054613,0.700787195282687,0,0,-0.0175846766350102,0.700839457419205,0.702716117802681,0,0.630075107375043,0,0,0,0,0,0,0,0,0,0.703353216690843,0,0.655774094423673,0,0.630079805005667,0.702013169031058,0.677249761072964,0,0.678600562779377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705498871753246,0,0.701415962920268,0,0.653857342647367,0,0,0.674174231800252,0.654794605705515,0,0,0.703757709799303,0,0,0,0.677953030260504,0,0.676349435535743,0,0,0.656050985456989,0,0.630079805005667,-0.0175846766350102,0.678724168858124,0,0,0.701522146873101,0,0.678849173798547,0,0,0.701743448479569,0,0,0.673641675379873,0,0,0,0.700855759978702,0,0.700182376955727,0,0,0,0,0,0,0,0.677324716499957,0,0,0.657210880402548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630065766071816,0,0,0.701826613781031,0.681115208645621,0.678134014933841,0,0,0.701377095631068,0.630079805005667,0,0.674631384930024,0,0.702949136466125,0,0,0.6300704277776,0.659349283312766,0.657101349810116,0.701553091121575,0,0,0,0.701553091121575,0.630079805005667,0.700763689563142,0,0.632237830936742,0,0,0,0,0.680434252784028,0.701468611542729,0.726698077445726,0,0.726500123584002,0.70247037062357,0,0,0,0,0,0,0,0,0,0.632134461691271,0,0,0.702139526481246
"Digestion",0,0,0,0,0,0,0.632328372983265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639672827869981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1106972324878,0,0,0.62766199226407,0,0,0,0,0.633985384276811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688027016327297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627482593110851,0,0,0,0,0,0,0,0,0.685666230224224,0,0,0,0,0,0.626566494334448,0,0,0,0,0,0,0.633140951962258,0,0.631451607096635,0,0,0,0,0,0,0.629829717968367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632408147005173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053968065202247,0,0.0534490010343578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Degradation of the extracellular matrix",0.884992577858407,0.864540748982653,0,0,0.885524245509031,0,0,0.864005588026239,0,0,0.846194834223442,0,0.846054107122234,0,0,0.888399850833462,0,0.865064641737861,0.863553559809802,0.885823614918433,0,0,0,0.889726940038055,0.843919003923867,0.868057515577712,0.86394273736671,0.862273639865108,0,0.885951216198437,0,0,0.862325988569632,0,0.886433293943187,0,0.862570883427012,0,0.862262309078872,0.863599986818658,0.864551658928507,0.887631846697149,0,0.887631846697149,0,0,0,0,0.884459271519638,0.889391164410929,0,0.864557073968544,0.886760397929131,0,0.885218100957533,0.866530856134846,0.863464317966374,0.844653739956774,0.886277672568808,0.863980549287307,0.883885622202498,0.886145517036422,0.862180799551377,0.8889583305555,0.865503252188483,0.842337051460937,0,0.905776068865528,0.885524443373652,0.866205878767501,0.863467036974446,0.864772377184851,0.845287336740486,0.884838058433429,0.905541331302579,0,0.863026342565937,0.862208721278861,0.863041426433931,0.867721739950587,0,0.867244241621014,0,0.903334253815947,0.865515110370444,0.888064075206337,0.845448827700465,0,0.86521182462493,0.845762395084852,0.863030573233855,0,0,0,0.88656800437588,0,0.847006740731869,0,0,0.86374407914049,0.884223246896872,0,0.885917522639433,0.843407391259782,0,0.843200877487158,0,0.884739234621101,0,0,0.843343690862489,0,0.885911144421388,0.865767567710675,0.884345159371452,0.884280418887024,0.884981632794653,0.887025961929139,0,0,0.885693495869917,0,0,0,0,0,0.887559937467018,0,0.886113123525425,0,0.863030573233855,0.841960794483778,0,0.867191619091305,0,0.886145517036422,0,0,0,0,0.886344820404795,0.844579294853119,0.862589415473766,0.904131919726545,0,0,0.885036927496664,0.865208474037198,0,0.884938925445704,0.8864551084848,0.905726978971147,0.886734762499026,0,0,0,0.884345159371452,0.863830539097671,0.845536471802179,0.885184717281631,0,0.906910939584594,0.843885560267668,0.886905536053731,0,0.884350331741048,0.865271200405404,0,0,0.885961915832767,0,0,0,0,0.865805593367864,0.863017929824485,0.843939754904007,0.886108137944545,0.885917522639433,0.888832684688892,0,0,0.864373416487848,0,0.863030573233855,0.862950201144277,0.885124963077862,0.885917522639433,0.887430658328711,0.867473154350211,0,0.863022128138632,0,0,0.864125796694218,0,0.843558853994492,0.84528610298592,0.843903619948977,0.863030573233855,0,0,0.863400865152048,0.865022279882662,0.884654353915753,0.86422366324852,0.846784891802104,0.887372050053326,0.886097303325549,0.88474629657978,0.845179396451157,0.88482842721616,0.865310364462794,0.86435596476977,0.86394273736671,0.86394273736671,0.86394273736671,0.86394273736671,0.86394273736671,0,0,0,0.862822972753829,0.863972575758668,0.887123015650528,0.886701526716747
"APAP ADME",0,0,0,0,0,0,0,0.712881962087845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720670077615403,0,0,0,0,0.717833764053431,0,0,0,0,0,0,0,0,0,0.711610269637832,0,0.784982103511929,0,0.784982103511929,0,0,0,0.789799889803441,0,0.792841889806255,0,0,0.783540809996679,0,0,0,0,0,0,0,0.716322772054451,0.779279256509388,0,0,0,0,0,0,0,0.781962538591466,0,0,0,0.778632505636473,0.778680470752405,0,0,0,0,0,0,0,0,0.718225632439611,0,0,0,0,0,0,0,0.719829442031985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729671893256304,0,0.718143132990506,0,0,0,0,0.707789178705657,0.714793802950738,0,0,0.729018857107896,0,0,0,0,0,0,0,0,0.71834139648027,0,0,0,0,0,0,0.718442960732532,0,0,0,0,0.719067841980626,0,0,0.706285418629269,0,0,0,0.780491304640499,0,0.714659901443041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781419902932346,0,0.718646823709044,0,0,0.780937415957808,0,0,0.709080025269588,0,0.785642295578474,0,0,0,0,0,0,0,0,0,0.780647567007857,0,0.719793563202947,0,0,0,0,0,0,0.720709007265978,0.718291794979179,0,0,0,0.721120425438378,0,0,0,0,0,0,0,0,0,0,0,0,0.720186232940279
"Digestion and absorption",0,0,0,0,0,0,0.535542554381378,0,0,0,0,0,0,0,0,0.114291994502121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541762847979803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194868054681013,0.115669158701492,0,0.531590421981746,0,0,0,0,0.536945939234405,0,0,0.105508912887239,0.106426612933696,0,0,0,0,0,0,0,0,0,0,0.113463999940365,0,0,0,0,0,0,0.58271581910665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10413382049058,0.686159595274416,0.110904099582602,0,0,0,0,0,0,0,0.580716381039332,0,0,0,0,0,0.530662603802749,0,0,0,0,0,0,0.536230757917135,0,0.534799988552321,0,0,0,0,0,0,0.533426349974981,0,0.10386231590586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535610117984864,0,0.108280251065673,0,0,0,0,0,0,0,0,0,0,0.154553427877565,0,0,0,0,0,0,0,0,0,0.153487421089675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148247730467913,0,0.147808115606021,0,0,0,0,0,0,0,0,0,0,0,0,0.109248099345415,0
"Signaling by Retinoic Acid",0.684021937801869,0.686463224557347,0.64363472225123,0,0.685885083449506,0,0,0,0,0,0,0,0,0.691340278927593,0,0,0,0,0,0,0,0,0,0,0.641229183192097,0,0,0,0,0.687293994761082,0.639959033006047,0,0,0.644246890627727,0,0,0,0,0.638726652147887,0.685518990367434,0,0.689690714511517,0,0.689690714511517,0,0.646039954631315,0,0,0.682876471107479,0,0,0.686498288321389,0.690611444051755,0.686037656553116,0.684506329567136,0,0,0,0,0.642628323061663,0.685045851073321,0.685777089697447,0.682549220329957,0,0,0.682967378460112,0,0,0,0.68777225209198,0.642000733018497,0,0.69073061197588,0.683352447779623,0.737943420063002,0.639809060871054,0.637632662517629,0,0.640219318304979,0,0,0,0,0.640028460719422,0,0,0,0,0,0,0.6376417493948,0.686206261542945,0,0,0.687405731456731,0,0.646422835345767,0,0.690463676057876,0.638366324126686,0.683611360649304,0,0.687250425654037,0,0,0.636231806019941,0,0.68642871163485,0.691663211624178,0,0.686292891044712,0,0.685994889045808,0,0.683873211426449,0,0.682756592254055,0,0,0,0,0,0,0.729836473362212,0,0.639627047499474,0,0,0.68642871163485,0,0.6376417493948,0.724897937963322,0.644246890627727,0,0,0.687711325519081,0,0,0.641377796823371,0,-0.0340149767995134,0,0,0.684824863522815,0,0,0.687250425654037,0.64291827219948,0,0.725924207722675,0,0,0,0,0,0,0.683873211426449,0,0,0.684434626146226,0,0.685780437800227,0,0.641651574781779,0.690714823679132,0.683884320945822,0.638442438506846,0.640837207928478,0,0.638612976437288,0,0,0,0,0,0.637614593137161,0.686851953797106,0,0.687250425654037,0.692269944917955,0.644554596019036,0,0,0.692406243127175,0.6376417493948,0,0.682776276189587,0.640484911708262,0.688016753214169,0,0,0.637623610523001,0,0,0.640874226630355,0,0.640455632009414,0,0,0.6376417493948,0.695943573066971,0,0.636071977162022,0,0.68642871163485,0,0,0.6397561808832,0.687607769277567,0,0.640481385319358,0,0.68668162342212,0,0,0,0,0,0,0,0,0,0,0.642219295544049,0.639221290158254,0.68541619872418
"Aspirin ADME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863870278887798,0,0,0,0,0.862254005026637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863699743140306,0,0,0,0,0,0,0,0.861392965928168,0.825077966665941,0,0,0,-0.0282948906599461,0,0.825231239345844,0.825622395358419,0.82348638740708,0,0,-0.0282948906599461,0,0.862303326857616,0,0,0,0,0,0,0,0,0.825651041470847,0,0,0,0,0,0,0,0.863391242529316,0,0,0.82583281075847,0,0,0,0,0,0,0,0,0,0,0,0,0.825020090256097,0.868999965364798,0,0.86243029897846,0,0.824659220901544,0,0,0,0.81978747471278,0,0,0.865691707395479,0,0,0,0,0,0,0,0,0.825020090256097,0,0,-0.0282948906599461,0,0,0,0.862601155878341,0,0,0,0,0.862957244584881,0,0,0.822261988809143,0,0,0.825703621762342,0.821227774031655,0,0.860445378771463,0.827733542488381,0.825231239345844,0,0,0,0,0,0.823384703033874,0,0,0,0.824480832582147,0,0,0,0,0.823912962675111,0,0,0,0,0,0,0,0,0,0,0.826904708057152,0.825703621762342,0.829483851914179,0.823988889041014,0,0,0,0,0,0,0,0.86489727512725,0,0,0,0,0,0,0,0,0,0,0,0.860780829482592,0,0,0,0.825020090256097,0,0,0.826874184539495,0.862515014042994,0.860102305887761,0,0.859783785224036,0.864126909686475,0,0,0,0,0,0,0,0,0,0,0,0,0.8635945599011
"Regulation of IGF Activity by IGFBP",0.832032984729722,0.787472833669927,0.813814531870233,0,0.812223989459625,0,0.812242343155175,0.788305863976065,0,0,0.769452585216112,0,0.788717758041268,0.790593859427283,0,0.814748605410245,0,0.811845687461481,0,0.812579258163689,0,0,0,0.816321315294325,0.813279150762105,0.795432612231103,0.811262930596866,0.786197873361334,0,0.812320618298801,0.765819917744675,0,0.811013134019492,0.767460982763509,0.813199749381876,0,0.81090429155622,0.837779931598283,0.810945660242759,0.812466777212736,0,0.812645636819012,0,0.812645636819012,0,0,0,0,0.831467901805802,0.815708690814654,0,0.787490131365622,0.790159234860604,0,0.83227194542267,0.790525199416647,0.811720066810151,0.787233951240384,0.788595627979832,0.813767594106282,0.810573629316817,0.81217071385984,0.810796481684595,0.815340361651148,0.788455412957451,0.811358550445865,0.787987603367496,0.81180298846441,0.811726413550305,0.813411811586249,0,0,0.788794342174491,0.810974586769377,0.788707364505159,0.76574593332159,0.810999460770551,0.810888879461217,0.812780963074963,0.795076829711069,0,0.814016950288843,0,0.853512450995495,0.768623069012733,0.814392822890212,0.788076413582037,0.790991072361624,0,0,0.811003943519064,0.812180651482432,0.811784186444418,0,0.812974157252704,0,0,0,0,0.809717145857297,0.831830438344914,0,0.812541759098609,0.81195049888153,0,0.811731680168943,0,0.811369216043582,0.815506908897512,0.787878749780803,0.813532669811254,0,0.812088923606791,0.788485954557757,0.831959614866156,0.811733003571911,0.810056914049173,0.813292854554201,0,0,0.812214089179472,0.793083061257347,0,0,0,0.81092504419023,0.813210787400418,0,0.812492172730256,0,0.811003943519064,0.810959874530462,0.767460982763509,0,0,0.812526496379872,0,0,0,0.786506826491972,0.812125050582996,0.791963968104187,0.810923927818542,0.809430894181743,0,0,0.81208313522183,0.811534809273168,0,0.811248011099472,0.834829512061181,0.81180298846441,0.813519180674211,0.789017363328115,0.814016950288843,0,0.831959614866156,0.811144047093487,0,0.83223657261005,0,0.811928070233522,0.791228897958807,0.812965294802814,0,0.831965095426806,0.787562952682422,0,0,0.813146361858166,0,0,0.813075563335693,0,0,0.810990546763362,0.788020384537737,0.834195968117266,0.812541759098609,0.813745605155023,0.792724491224609,0,0.788496807542154,0.788687415605002,0.811003943519064,0.8120632291034,0.812426087262104,0.812897541618642,0.789888478488394,0.790080569559499,0,0.810994995230333,0,0,0.791793322684237,0,0.81208313522183,0.787903993059714,0.7886962481568,0.811003943519064,0.789195443632997,0,0.785811221120857,0.812315385266894,0.811677766333444,0.789433458640127,0.79053226704061,0.81382611127865,0.812475409897802,0.787911433981227,0.813571245470821,0.787722535055277,0.812616939458913,0.812700967031955,0.811262930596866,0.811262930596866,0.811262930596866,0.811262930596866,0.811262930596866,0,0,0,0.81073195732213,0.813767594106282,0.812325889303101,0.813115635403817
"Keratinization",0.850236480398003,0,0,0,0.85100119318311,0,0,0,0,0,0,0,0,0,0,0.88900017903846,0,0,0,0.85215225100432,0,0,0,0,0,0,0,0.850507275069702,0,0.868758079144074,0,0,0.849809126074608,0,0,0,0.850025018264045,0,0.849752988086128,0.851178732169303,0,0.85468606092726,0,0.85468606092726,0.852190577821143,0,0,0,0.84976633302803,0.854309264501822,0,0,0.869471430242422,0,0.850435295008321,0.85367699001931,0,0,0.850378353549526,0,0.868629238245954,0.850308872166823,0.849725683406203,0.855001038601436,0.851251754722778,0,0,0.851227613337892,0.85060922046561,0,0,0,0,0.851368726436838,0.851218822766045,0,0,0.84970574663894,0,0,0,0,0,0.849690292337014,0.852354637381821,0.85421268907335,0,0,0.851573210527536,0,0,0,0,0,0.85168051366868,0,0,0,0,0.849828659011309,0,0,0.832044013372816,0,0,0.850180096855408,0,0.850427026453185,0,0,0,0,0.88596849299501,0.851839189587975,0,0.831790221560203,0.85004371997191,0.853297518576528,0,0,0.851569647952282,0,0,0,0,0,0,0,0.850529980226827,0,0,0.830317836598607,0,0,0,0.868929369116313,0,0,0,0,0.869401079208945,0,0.850041355577908,0.830796736281083,0,0,0.85076429220424,0.850836607045288,0,0.850302080449163,0.852462291097474,0.851227613337892,0,0,0,0,0,0,0,0.850405864929801,0,0.85016094779733,0,0.85216036805448,0,0,0,0,0,0.852359486459949,0,0,0,0,0,0,0,0.852053330479866,0.850649298916821,0.871298298027609,0,0,0,0,0,0,0.850467294463776,0.851127282547798,0.870062312332418,0,0,0,0,0,0,0,0.851146697151644,0,0.831823216082373,0,0,0,0,0,0.850790016796744,0,0,0.87001064498004,0.868886865309934,0,0,0,0.869978211316781,0,0,0,0,0,0,0,0,0,0,0,0.852705494533401,0.869419531092427
"Extracellular matrix organization",0.895020046659312,0.884418494388395,0.896579713577487,0,0.896019458559526,0,0.883563031559788,0.884217876312253,0,0.884283871991752,0.87498533418071,0,0.874487252746354,0,0,0.896975373101048,0,0.884164643657861,0.884326830407092,0.895379444969254,0,0,0.885006124932256,0.897270970517403,0.883394418787273,0.885872507256585,0.884101973158263,0.884139393801868,0,0.895655742949235,0.884131256435268,0,0.896173711217028,0,0.895134263075455,0,0.894428565983272,0,0.895649994836633,0.894942152800429,0.885167402732251,0.896545282915796,0,0.896545282915796,0,0,0,0,0.894737773248757,0.897341904678923,0,0.884427135030948,0.896084034290023,0.874407700476687,0.895139413652954,0.896502407350728,0.895533474572958,0.873746053201011,0.896006255348814,0.885042842924983,0.894562445870857,0.898435493618999,0.895072120119845,0.897270970517403,0.895510874300863,0.883877220150864,0.87328971087865,0.906113639040166,0.895284277239015,0.885105526069234,0.884771046283212,0.885461949065233,0.895608618122368,0.895090154015207,0.906202306389774,0.884094299318802,0.882817649685157,0.89611164287899,0.883300738889618,0.885694784764726,0,0.895505347628628,0,0.906579016083573,0.895850856631975,0.89679765060919,0.874166884743385,0.883471335611634,0.88444950772115,0.874662742275422,0.882819888932987,0.883205309439779,0.883334170534548,0,0.895982202414988,0.873748959751448,0.875220566037696,0,0,0.895328274756995,0.894918869546334,0,0.895815631796297,0.895648581301433,0,0.895539275743468,0,0.90627339092747,0,0.884703842633129,0.872926307459432,0.884481717735444,0.895634533381015,0.906703128979425,0.894983396531085,0.895646375444345,0.895320275189434,0.896248188219573,0,0,0.895626122632588,0,0,0,0,0.88290500694815,0.896062109508716,0.885087627400659,0.895296326175491,0.875332583754734,0.882819888932987,0.883678071308131,0.884325089088076,0.885904208893537,0,0.89575858432993,0,0,0.884041302372094,0.87268026904839,0.895864073497104,0.873706650194183,0.894438374799821,0.907672561234063,0,0,0.906326550501764,0.89501977043805,0,0.895119948148996,0.895836256404686,0.851434213881442,0.895293827196947,0,0.896680826768068,0,0.894983396531085,0.884042587799873,0.874264645735224,0.895121744026009,0.873665765131225,0.905910340355275,0.883488447434883,0.896338576857801,0,0.894986134211664,0.895771745283152,0.873093030273291,0,0.895684999862757,0,0,0.896388302337447,0,0.884980121871463,0.88281319690999,0.885547434318957,0.895590719120661,0.895943930941169,0.897180873777581,0,0,0.885250783383459,0.883504422325288,0.882819888932987,0.896010914574655,0.895052978392817,0.895122736015104,0.896438796038002,0.885723118515179,0.88447126980604,0.882815419033311,0,0.874367351555036,0.884281501490171,0,0.873395636015649,0.874080756271217,0.883073177544429,0.882819888932987,0,0,0.8839722616032,0.895726064227446,0.906152789072594,0.895536928188041,0.896991144042775,0.896585497788913,0.895733065322158,0.895419673424899,0.896274195920545,0.906406728097855,0.894535053696637,0.896201181878198,0.884101973158263,0.884101973158263,0.884101973158263,0.884101973158263,0.884101973158263,0,0,0.884278634471218,0.895039888546237,0.884200403267813,0.896453686510642,0.896052874379302
"Peptide hormone metabolism",0.667598966657004,0.641871743733156,0.646056502368555,0,0.642296921175116,0,0.644721608115501,0.645182906862077,0,0,0.616599672438702,0,0.618632383199145,0.619907903687227,0,0.623034539931348,0,0.616099048222822,0.616723979035176,0.646563542112585,0,0,0.617468745512471,0.620327626975384,0.617983447125796,0.618798422498566,0.66858013483139,0.618301809373498,0,0.644095434981479,0,0,0.6147916156794,0.615847641259278,0.617490241719875,0,0.615102677319442,0,0.615018622217665,0.644241221534098,0,0,0,0,0,0,0,0,0.666921569237734,0.621593551760355,0.646441841855355,0.641892479476402,0.645293472254035,0,0.667885422590917,0.647176230073339,0.615398974130654,0.616853658599503,0.616957151896849,0.616872999193518,0.645014721949806,0.617525426050521,0.616811749221818,0.623743912190633,0.644695057936384,0.616415501221478,0.618126334970446,0.617601840514284,0.644473010596712,0.645023959555976,0.619174108637277,0.646579505872672,0.61990107923123,0.641195824961509,0.672537930819827,0,0.61485857067765,0.61464266459002,0.643641578393507,0.618371925517875,0,0.592210116374994,0.618668754231293,0.643653761530577,0.617991749016586,0.622608042950657,0.617863566688938,0,0,0,0.614863944406258,0.617666522141637,0.644172389301144,0,0.645747482062392,0,0.622085039446542,0,0,0.642745418497187,0.667653206206468,0.617490524900741,0.613164658095674,0.643514087519716,0,0.643251776936755,0,0.615737413431283,0.620859163542369,0.645573738389127,0.644390993818693,0.644379847211626,0.644964192254837,0.617061296771118,0.667808057536097,0.617066377556482,0.617767202974937,0.61913908717702,0,0,0.644687738448917,0,0.620501641832487,0.645293472254035,0,0.643142486040689,0.617212762016528,0,0.640862841188038,0,0.614863944406258,0.615937585459407,0.646070383271777,0,0,0.644512460104731,0,0,0.618805721347612,0.615714971716719,0.643589686562107,0.616759099586367,0.615126216437079,0.640797972062567,0,0,0.644957253384682,0.643631558939404,0,0.643421403591397,0.646400372929254,0.617601840514284,0.61787316239205,0.617171916799053,0.619551505524427,0,0.667808057536097,0.696533502508585,0,0.667843019164859,0,0.61535404216025,0.615887524405728,0.619447951710563,0,0.667814627399533,0.644559084036052,0.618486031980754,0,0.617170682805287,0,0,0.645597155242073,0.619000002695706,0.646641491623729,0.614847884944265,0.64417182928235,0.645811134565619,0.643980977570839,0.647925658674865,0,0,0.61703096002192,0.615771815684606,0.614863944406258,0.643715227365299,0.669410316663232,0.644700983623966,0.670992822118044,0.619191757735409,0,0.614853217577616,0,0.619191757735408,0.617947489590254,0,0.618260378503359,0.617656876286685,0.618591024778952,0.614863944406258,0,0,0.615848619091586,0.646857481075011,0.644044817390048,0.619494241184933,0.647562248596881,0.646511920636011,0.644451219798841,0,0.671347244705518,0,0.617287011688594,0.616480404861693,0.66858013483139,0.66858013483139,0.66858013483139,0.66858013483139,0.66858013483139,0,0,0,0.640238391533807,0.618568972270512,0.64796734707771,0.668837130346873
